"Teacher Quality"
3/17/2022

Year,Level,Division,"Poverty Level","Title1 Code","Percent of Inexperienced Teachers","Percent of Out-of-Field Teachers","Percent of Out-of-Field and Inexperienced Teachers"
"2020 - 2021",DIV,"Highland County Public Schools","All Schools","All Schools",6.5,22.6,3.2
"2020 - 2021",DIV,"Highland County Public Schools","All Schools","Title I",6.5,22.6,3.2
"2020 - 2021",DIV,"Hopewell City Public Schools","All Schools","All Schools",6.6,7.2,0.3
"2020 - 2021",DIV,"Hopewell City Public Schools","All Schools","Non-Title I",4.7,9.4,0
"2020 - 2021",DIV,"Hopewell City Public Schools","All Schools","Title I",7.5,6.1,0.4
"2020 - 2021",DIV,"Hopewell City Public Schools","High Poverty","All Schools",6.6,7.2,0.3
"2020 - 2021",DIV,"Hopewell City Public Schools","High Poverty","Non-Title I",4.7,9.4,0
"2020 - 2021",DIV,"Hopewell City Public Schools","High Poverty","Title I",7.5,6.1,0.4
"2020 - 2021",DIV,"Isle of Wight County Public Schools","All Schools","All Schools",2.5,4.8,1.6
"2020 - 2021",DIV,"Isle of Wight County Public Schools","All Schools","Non-Title I",2.8,5.8,1.8
"2020 - 2021",DIV,"Isle of Wight County Public Schools","All Schools","Title I",1.8,1.8,0.9
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Low Poverty","All Schools",4.3,7.1,3.6
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Low Poverty","Non-Title I",4.3,7.1,3.6
"2020 - 2021",DIV,"King George County Public Schools","All Schools","All Schools",3.8,6.5,0.6
"2020 - 2021",DIV,"King George County Public Schools","All Schools","Non-Title I",3.9,9.8,1
"2020 - 2021",DIV,"King George County Public Schools","All Schools","Title I",3.7,1.5,0
"2020 - 2021",DIV,"King George County Public Schools","Low Poverty","All Schools",3.1,7.7,0.8
"2020 - 2021",DIV,"King George County Public Schools","Low Poverty","Non-Title I",3.9,9.8,1
"2020 - 2021",DIV,"King George County Public Schools","Low Poverty","Title I",0,0,0
"2020 - 2021",DIV,"King William County Public Schools","All Schools","All Schools",0,2.9,0
"2020 - 2021",DIV,"King William County Public Schools","All Schools","Non-Title I",0,2.9,0
"2020 - 2021",DIV,"King William County Public Schools","All Schools","Title I",0,2.9,0
"2020 - 2021",DIV,"King William County Public Schools","Low Poverty","All Schools",0,2.9,0
"2020 - 2021",DIV,"King William County Public Schools","Low Poverty","Non-Title I",0,2.9,0
"2020 - 2021",DIV,"King William County Public Schools","Low Poverty","Title I",0,2.9,0
"2020 - 2021",DIV,"King and Queen County Public Schools","All Schools","All Schools",3.3,4.4,2.2
"2020 - 2021",DIV,"King and Queen County Public Schools","All Schools","Non-Title I",3.3,3.3,3.3
"2020 - 2021",DIV,"King and Queen County Public Schools","All Schools","Title I",3.3,4.9,1.6
"2020 - 2021",DIV,"Lancaster County Public Schools","All Schools","All Schools",9.4,2.4,1.2
"2020 - 2021",DIV,"Lancaster County Public Schools","All Schools","Non-Title I",11.9,3.4,1.7
"2020 - 2021",DIV,"Lancaster County Public Schools","All Schools","Title I",3.8,0,0
"2020 - 2021",DIV,"Lee County Public Schools","All Schools","All Schools",4.7,10,2.3
"2020 - 2021",DIV,"Lee County Public Schools","All Schools","Non-Title I",7.9,14,2.6
"2020 - 2021",DIV,"Lee County Public Schools","All Schools","Title I",2.7,7.5,2.2
"2020 - 2021",DIV,"Lee County Public Schools","High Poverty","All Schools",4.7,10,2.3
"2020 - 2021",DIV,"Lee County Public Schools","High Poverty","Non-Title I",7.9,14,2.6
"2020 - 2021",DIV,"Lee County Public Schools","High Poverty","Title I",2.7,7.5,2.2
"2020 - 2021",DIV,"Lexington City Public Schools","All Schools","All Schools",2.3,2.3,2.3
"2020 - 2021",DIV,"Lexington City Public Schools","All Schools","Non-Title I",5.9,5.9,5.9
"2020 - 2021",DIV,"Lexington City Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"Lexington City Public Schools","Low Poverty","All Schools",2.3,2.3,2.3
"2020 - 2021",DIV,"Lexington City Public Schools","Low Poverty","Non-Title I",5.9,5.9,5.9
"2020 - 2021",DIV,"Lexington City Public Schools","Low Poverty","Title I",0,0,0
"2020 - 2021",DIV,"Loudoun County Public Schools","All Schools","All Schools",3.1,2.3,0.3
"2020 - 2021",DIV,"Loudoun County Public Schools","All Schools","Non-Title I",2.9,2.3,0.3
"2020 - 2021",DIV,"Loudoun County Public Schools","All Schools","Title I",6,1.4,0.5
"2020 - 2021",DIV,"Loudoun County Public Schools","High Poverty","All Schools",7.2,2.2,0.7
"2020 - 2021",DIV,"Loudoun County Public Schools","High Poverty","Title I",7.2,2.2,0.7
"2020 - 2021",DIV,"Loudoun County Public Schools","Low Poverty","All Schools",2.8,2.3,0.3
"2020 - 2021",DIV,"Loudoun County Public Schools","Low Poverty","Non-Title I",2.8,2.3,0.3
"2020 - 2021",DIV,"Louisa County Public Schools","All Schools","All Schools",5.2,1.8,0.2
"2020 - 2021",DIV,"Louisa County Public Schools","All Schools","Non-Title I",5.3,2.6,0
"2020 - 2021",DIV,"Louisa County Public Schools","All Schools","Title I",5.1,0.9,0.5
"2020 - 2021",DIV,"Lunenburg County Public Schools","All Schools","All Schools",5.6,7,0
"2020 - 2021",DIV,"Lunenburg County Public Schools","All Schools","Non-Title I",6.2,9.9,0
"2020 - 2021",DIV,"Lunenburg County Public Schools","All Schools","Title I",4.9,3.3,0
"2020 - 2021",DIV,"Lunenburg County Public Schools","High Poverty","All Schools",6.1,6.1,0
"2020 - 2021",DIV,"Lunenburg County Public Schools","High Poverty","Non-Title I",8.1,10.8,0
"2020 - 2021",DIV,"Lunenburg County Public Schools","High Poverty","Title I",4.9,3.3,0
"2020 - 2021",DIV,"Lynchburg City Public Schools","All Schools","All Schools",5.9,2.4,0.4
"2020 - 2021",DIV,"Lynchburg City Public Schools","All Schools","Non-Title I",5.7,4,0.7
"2020 - 2021",DIV,"Lynchburg City Public Schools","All Schools","Title I",6.1,0.3,0
"2020 - 2021",DIV,"Lynchburg City Public Schools","High Poverty","All Schools",5.5,2.7,0.6
"2020 - 2021",DIV,"Lynchburg City Public Schools","High Poverty","Non-Title I",4.5,6.8,1.7
"2020 - 2021",DIV,"Lynchburg City Public Schools","High Poverty","Title I",6.1,0.3,0
"2020 - 2021",DIV,"Madison County Public Schools","All Schools","All Schools",4.6,9.2,0.8
"2020 - 2021",DIV,"Madison County Public Schools","All Schools","Non-Title I",8,14.7,1.3
"2020 - 2021",DIV,"Madison County Public Schools","All Schools","Title I",0,1.8,0
"2020 - 2021",DIV,"Manassas City Public Schools","All Schools","All Schools",6.2,4.3,0.8
"2020 - 2021",DIV,"Manassas City Public Schools","All Schools","Non-Title I",6.9,6.9,1.4
"2020 - 2021",DIV,"Manassas City Public Schools","All Schools","Title I",5.4,0.8,0
"2020 - 2021",DIV,"Manassas Park City Public Schools","All Schools","All Schools",7.6,1.4,0.7
"2020 - 2021",DIV,"Manassas Park City Public Schools","All Schools","Non-Title I",9.7,2.1,0.7
"2020 - 2021",DIV,"Manassas Park City Public Schools","All Schools","Title I",5.3,0.8,0.8
"2020 - 2021",DIV,"Manassas Park City Public Schools","High Poverty","All Schools",10.9,1.6,1.6
"2020 - 2021",DIV,"Manassas Park City Public Schools","High Poverty","Non-Title I",10.9,1.6,1.6
"2020 - 2021",DIV,"Martinsville City Public Schools","All Schools","All Schools",10.4,5.8,1.7
"2020 - 2021",DIV,"Martinsville City Public Schools","All Schools","Non-Title I",17.7,11.3,3.2
"2020 - 2021",DIV,"Martinsville City Public Schools","All Schools","Title I",6.3,2.7,0.9
"2020 - 2021",DIV,"Martinsville City Public Schools","High Poverty","All Schools",10.4,5.8,1.7
"2020 - 2021",DIV,"Martinsville City Public Schools","High Poverty","Non-Title I",17.7,11.3,3.2
"2020 - 2021",DIV,"Martinsville City Public Schools","High Poverty","Title I",6.3,2.7,0.9
"2020 - 2021",DIV,"Mathews County Public Schools","All Schools","All Schools",4.2,3.2,0
"2020 - 2021",DIV,"Mathews County Public Schools","All Schools","Non-Title I",3,4.5,0
"2020 - 2021",DIV,"Mathews County Public Schools","All Schools","Title I",6.9,0,0
"2020 - 2021",DIV,"Mecklenburg County Public Schools","All Schools","All Schools",3.4,7.7,0.6
"2020 - 2021",DIV,"Mecklenburg County Public Schools","All Schools","Non-Title I",2.5,13.1,1
"2020 - 2021",DIV,"Mecklenburg County Public Schools","All Schools","Title I",4.6,0.7,0
"2020 - 2021",DIV,"Mecklenburg County Public Schools","High Poverty","All Schools",4.6,0.7,0
"2020 - 2021",DIV,"Mecklenburg County Public Schools","High Poverty","Title I",4.6,0.7,0
"2020 - 2021",DIV,"Middlesex County Public Schools","All Schools","All Schools",0.9,9.3,0.9
"2020 - 2021",DIV,"Middlesex County Public Schools","All Schools","Non-Title I",1.6,16.1,1.6
"2020 - 2021",DIV,"Middlesex County Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"Montgomery County Public Schools","All Schools","All Schools",5,0.9,0.1
"2020 - 2021",DIV,"Montgomery County Public Schools","All Schools","Non-Title I",4.8,1.3,0.1
"2020 - 2021",DIV,"Montgomery County Public Schools","All Schools","Title I",5.4,0,0
"2020 - 2021",DIV,"Montgomery County Public Schools","High Poverty","All Schools",0,7.1,0
"2020 - 2021",DIV,"Montgomery County Public Schools","High Poverty","Non-Title I",0,7.1,0
"2020 - 2021",DIV,"Montgomery County Public Schools","Low Poverty","All Schools",4.2,1.1,0
"2020 - 2021",DIV,"Montgomery County Public Schools","Low Poverty","Non-Title I",4.2,1.1,0
"2020 - 2021",DIV,"Nelson County Public Schools","All Schools","All Schools",3.7,0,0
"2020 - 2021",DIV,"Nelson County Public Schools","All Schools","Non-Title I",3.1,0,0
"2020 - 2021",DIV,"Nelson County Public Schools","All Schools","Title I",4.6,0,0
"2020 - 2021",DIV,"New Kent County Public Schools","All Schools","All Schools",3.7,0,0
"2020 - 2021",DIV,"New Kent County Public Schools","All Schools","Non-Title I",3.7,0,0
"2020 - 2021",DIV,"New Kent County Public Schools","All Schools","Title I",3.7,0,0
"2020 - 2021",DIV,"New Kent County Public Schools","Low Poverty","All Schools",3.7,0,0
"2020 - 2021",DIV,"New Kent County Public Schools","Low Poverty","Non-Title I",3.7,0,0
"2020 - 2021",DIV,"New Kent County Public Schools","Low Poverty","Title I",3.7,0,0
"2020 - 2021",DIV,"Newport News City Public Schools","All Schools","All Schools",3.5,4,0.6
"2020 - 2021",DIV,"Newport News City Public Schools","All Schools","Non-Title I",3.4,4.5,0.7
"2020 - 2021",DIV,"Newport News City Public Schools","All Schools","Title I",3.8,2.7,0.3
"2020 - 2021",DIV,"Newport News City Public Schools","High Poverty","All Schools",3.2,5.3,0.9
"2020 - 2021",DIV,"Newport News City Public Schools","High Poverty","Non-Title I",3.2,5.3,0.9
"2020 - 2021",DIV,"Norfolk City Public Schools","All Schools","All Schools",4.5,4.4,0.7
"2020 - 2021",DIV,"Norfolk City Public Schools","All Schools","Non-Title I",3.2,4.7,0.8
"2020 - 2021",DIV,"Norfolk City Public Schools","All Schools","Title I",5.3,4.2,0.7
"2020 - 2021",DIV,"Norfolk City Public Schools","High Poverty","All Schools",5.2,4.9,0.8
"2020 - 2021",DIV,"Norfolk City Public Schools","High Poverty","Non-Title I",3.7,2.4,1.2
"2020 - 2021",DIV,"Norfolk City Public Schools","High Poverty","Title I",5.3,5,0.8
"2020 - 2021",DIV,"Norfolk City Public Schools","Low Poverty","All Schools",5.6,0,0
"2020 - 2021",DIV,"Norfolk City Public Schools","Low Poverty","Non-Title I",5.6,0,0
"2020 - 2021",DIV,"Northampton County Public Schools","All Schools","All Schools",14.6,1.3,0.6
"2020 - 2021",DIV,"Northampton County Public Schools","All Schools","Non-Title I",11,0,0
"2020 - 2021",DIV,"Northampton County Public Schools","All Schools","Title I",17.9,2.4,1.2
"2020 - 2021",DIV,"Northampton County Public Schools","High Poverty","All Schools",14.6,1.3,0.6
"2020 - 2021",DIV,"Northampton County Public Schools","High Poverty","Non-Title I",11,0,0
"2020 - 2021",DIV,"Northampton County Public Schools","High Poverty","Title I",17.9,2.4,1.2
"2020 - 2021",DIV,"Northumberland County Public Schools","All Schools","All Schools",5.4,3.1,2.3
"2020 - 2021",DIV,"Northumberland County Public Schools","All Schools","Non-Title I",3.9,3.9,2.6
"2020 - 2021",DIV,"Northumberland County Public Schools","All Schools","Title I",7.7,1.9,1.9
"2020 - 2021",DIV,"Northumberland County Public Schools","High Poverty","All Schools",3.9,3.9,2.6
"2020 - 2021",DIV,"Northumberland County Public Schools","High Poverty","Non-Title I",3.9,3.9,2.6
"2020 - 2021",DIV,"Norton City Public Schools","All Schools","All Schools",6.8,11.9,1.7
"2020 - 2021",DIV,"Norton City Public Schools","All Schools","Non-Title I",8.7,17.4,4.3
"2020 - 2021",DIV,"Norton City Public Schools","All Schools","Title I",5.6,8.3,0
"2020 - 2021",DIV,"Norton City Public Schools","High Poverty","All Schools",6.8,11.9,1.7
"2020 - 2021",DIV,"Norton City Public Schools","High Poverty","Non-Title I",8.7,17.4,4.3
"2020 - 2021",DIV,"Norton City Public Schools","High Poverty","Title I",5.6,8.3,0
"2020 - 2021",DIV,"Nottoway County Public Schools","All Schools","All Schools",2.9,5.2,0
"2020 - 2021",DIV,"Nottoway County Public Schools","All Schools","Non-Title I",0,4.4,0
"2020 - 2021",DIV,"Nottoway County Public Schools","All Schools","Title I",3.9,5.5,0
"2020 - 2021",DIV,"Nottoway County Public Schools","High Poverty","All Schools",2.9,5.2,0
"2020 - 2021",DIV,"Nottoway County Public Schools","High Poverty","Non-Title I",0,4.4,0
"2020 - 2021",DIV,"Nottoway County Public Schools","High Poverty","Title I",3.9,5.5,0
"2020 - 2021",DIV,"Orange County Public Schools","All Schools","All Schools",3,3.9,0.5
"2020 - 2021",DIV,"Orange County Public Schools","All Schools","Non-Title I",2.2,4.9,0.4
"2020 - 2021",DIV,"Orange County Public Schools","All Schools","Title I",4.3,2.2,0.7
"2020 - 2021",DIV,"Page County Public Schools","All Schools","All Schools",11.8,4.2,0.7
"2020 - 2021",DIV,"Page County Public Schools","All Schools","Non-Title I",9.3,5.2,1.2
"2020 - 2021",DIV,"Page County Public Schools","All Schools","Title I",15.5,2.6,0
"2020 - 2021",DIV,"Patrick County Public Schools","All Schools","All Schools",1.9,4.3,0.5
"2020 - 2021",DIV,"Patrick County Public Schools","All Schools","Non-Title I",1.4,4.1,0
"2020 - 2021",DIV,"Patrick County Public Schools","All Schools","Title I",2.2,4.5,0.7
"2020 - 2021",DIV,"Patrick County Public Schools","High Poverty","All Schools",1.4,4.1,0
"2020 - 2021",DIV,"Patrick County Public Schools","High Poverty","Non-Title I",1.4,4.1,0
"2020 - 2021",DIV,"Petersburg City Public Schools","All Schools","All Schools",10.4,10.1,3.7
"2020 - 2021",DIV,"Petersburg City Public Schools","All Schools","Non-Title I",3.6,14.4,3.6
"2020 - 2021",DIV,"Petersburg City Public Schools","All Schools","Title I",14,7.9,3.7
"2020 - 2021",DIV,"Petersburg City Public Schools","High Poverty","All Schools",10.4,10.1,3.7
"2020 - 2021",DIV,"Petersburg City Public Schools","High Poverty","Non-Title I",3.6,14.4,3.6
"2020 - 2021",DIV,"Petersburg City Public Schools","High Poverty","Title I",14,7.9,3.7
"2020 - 2021",DIV,"Pittsylvania County Public Schools","All Schools","All Schools",5.6,1.7,0.6
"2020 - 2021",DIV,"Pittsylvania County Public Schools","All Schools","Non-Title I",5.1,3,0.9
"2020 - 2021",DIV,"Pittsylvania County Public Schools","All Schools","Title I",6.1,0.5,0.3
"2020 - 2021",DIV,"Pittsylvania County Public Schools","High Poverty","All Schools",7.6,0.6,0.6
"2020 - 2021",DIV,"Pittsylvania County Public Schools","High Poverty","Title I",7.6,0.6,0.6
"2020 - 2021",DIV,"Poquoson City Public Schools","All Schools","All Schools",0,0.6,0
"2020 - 2021",DIV,"Poquoson City Public Schools","All Schools","Non-Title I",0,0.8,0
"2020 - 2021",DIV,"Poquoson City Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"Poquoson City Public Schools","Low Poverty","All Schools",0,0.6,0
"2020 - 2021",DIV,"Poquoson City Public Schools","Low Poverty","Non-Title I",0,0.8,0
"2020 - 2021",DIV,"Poquoson City Public Schools","Low Poverty","Title I",0,0,0
"2020 - 2021",DIV,"Portsmouth City Public Schools","All Schools","All Schools",3.9,5.6,1.1
"2020 - 2021",DIV,"Portsmouth City Public Schools","All Schools","Non-Title I",2.7,4.1,0.9
"2020 - 2021",DIV,"Portsmouth City Public Schools","All Schools","Title I",5.3,7.2,1.4
"2020 - 2021",DIV,"Portsmouth City Public Schools","High Poverty","All Schools",3.8,6.8,1.6
"2020 - 2021",DIV,"Portsmouth City Public Schools","High Poverty","Non-Title I",3.7,4.1,1.4
"2020 - 2021",DIV,"Portsmouth City Public Schools","High Poverty","Title I",3.9,8.5,1.8
"2020 - 2021",DIV,"Powhatan County Public Schools","All Schools","All Schools",4.2,0,0
"2020 - 2021",DIV,"Powhatan County Public Schools","All Schools","Non-Title I",3,0,0
"2020 - 2021",DIV,"Powhatan County Public Schools","All Schools","Title I",5.7,0,0
"2020 - 2021",DIV,"Powhatan County Public Schools","Low Poverty","All Schools",4.2,0,0
"2020 - 2021",DIV,"Powhatan County Public Schools","Low Poverty","Non-Title I",3,0,0
"2020 - 2021",DIV,"Powhatan County Public Schools","Low Poverty","Title I",5.7,0,0
"2020 - 2021",DIV,"Prince Edward County Public Schools","All Schools","All Schools",8.3,8.3,2.5
"2020 - 2021",DIV,"Prince Edward County Public Schools","All Schools","Non-Title I",9.8,15.7,2
"2020 - 2021",DIV,"Prince Edward County Public Schools","All Schools","Title I",7.5,4.7,2.8
"2020 - 2021",DIV,"Prince Edward County Public Schools","High Poverty","All Schools",7.5,4.7,2.8
"2020 - 2021",DIV,"Prince Edward County Public Schools","High Poverty","Title I",7.5,4.7,2.8
"2020 - 2021",DIV,"Prince George County Public Schools","All Schools","All Schools",4.4,5.4,0.2
"2020 - 2021",DIV,"Prince George County Public Schools","All Schools","Non-Title I",3,8,0
"2020 - 2021",DIV,"Prince George County Public Schools","All Schools","Title I",6.1,2,0.5
"2020 - 2021",DIV,"Prince William County Public Schools","All Schools","All Schools",3.9,4,0.7
"2020 - 2021",DIV,"Prince William County Public Schools","All Schools","Non-Title I",3.4,4.4,0.6
"2020 - 2021",DIV,"Prince William County Public Schools","All Schools","Title I",5.2,3,0.8
"2020 - 2021",DIV,"Prince William County Public Schools","High Poverty","All Schools",5.1,3.5,0.6
"2020 - 2021",DIV,"Prince William County Public Schools","High Poverty","Non-Title I",6.3,5.2,1
"2020 - 2021",DIV,"Prince William County Public Schools","High Poverty","Title I",4.8,3.1,0.5
"2020 - 2021",DIV,"Prince William County Public Schools","Low Poverty","All Schools",2.1,3.3,0.3
"2020 - 2021",DIV,"Prince William County Public Schools","Low Poverty","Non-Title I",2.1,3.3,0.3
"2020 - 2021",DIV,"Pulaski County Public Schools","All Schools","All Schools",5.6,1.2,0.5
"2020 - 2021",DIV,"Pulaski County Public Schools","All Schools","Non-Title I",7.5,2.4,0.9
"2020 - 2021",DIV,"Pulaski County Public Schools","All Schools","Title I",3.5,0,0
"2020 - 2021",DIV,"Radford City Public Schools","All Schools","All Schools",3.6,1.8,0.5
"2020 - 2021",DIV,"Radford City Public Schools","All Schools","Non-Title I",4.3,2.9,0.7
"2020 - 2021",DIV,"Radford City Public Schools","All Schools","Title I",2.4,0,0
"2020 - 2021",DIV,"Rappahannock County Public Schools","All Schools","All Schools",1.2,3.7,0
"2020 - 2021",DIV,"Rappahannock County Public Schools","All Schools","Non-Title I",0,5.3,0
"2020 - 2021",DIV,"Rappahannock County Public Schools","All Schools","Title I",2.3,2.3,0
"2020 - 2021",DIV,"Rappahannock County Public Schools","Low Poverty","All Schools",0,5.3,0
"2020 - 2021",DIV,"Rappahannock County Public Schools","Low Poverty","Non-Title I",0,5.3,0
"2020 - 2021",DIV,"Richmond City Public Schools","All Schools","All Schools",0.2,3.1,0.1
"2020 - 2021",DIV,"Richmond City Public Schools","All Schools","Non-Title I",1.2,6,0.8
"2020 - 2021",DIV,"Richmond City Public Schools","All Schools","Title I",0,2.6,0
"2020 - 2021",DIV,"Richmond City Public Schools","High Poverty","All Schools",0,2.7,0
"2020 - 2021",DIV,"Richmond City Public Schools","High Poverty","Non-Title I",0,3.4,0
"2020 - 2021",DIV,"Richmond City Public Schools","High Poverty","Title I",0,2.6,0
"2020 - 2021",DIV,"Richmond County Public Schools","All Schools","All Schools",7.1,0,0
"2020 - 2021",DIV,"Richmond County Public Schools","All Schools","Non-Title I",2.4,0,0
"2020 - 2021",DIV,"Richmond County Public Schools","All Schools","Title I",10.5,0,0
"2020 - 2021",DIV,"Richmond County Public Schools","High Poverty","All Schools",2.5,0,0
"2020 - 2021",DIV,"Richmond County Public Schools","High Poverty","Non-Title I",2.5,0,0
"2020 - 2021",DIV,"Roanoke City Public Schools","All Schools","All Schools",3.7,1.1,0.2
"2020 - 2021",DIV,"Roanoke City Public Schools","All Schools","Non-Title I",2.9,1.4,0.3
"2020 - 2021",DIV,"Roanoke City Public Schools","All Schools","Title I",4.1,1,0.1
"2020 - 2021",DIV,"Roanoke City Public Schools","High Poverty","All Schools",4,1.2,0.2
"2020 - 2021",DIV,"Roanoke City Public Schools","High Poverty","Non-Title I",3.6,1.8,0.4
"2020 - 2021",DIV,"Roanoke City Public Schools","High Poverty","Title I",4.1,1,0.1
"2020 - 2021",DIV,"Roanoke City Public Schools","Low Poverty","All Schools",0,0,0
"2020 - 2021",DIV,"Roanoke City Public Schools","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",DIV,"Roanoke County Public Schools","All Schools","All Schools",4.5,0,0
"2020 - 2021",DIV,"Roanoke County Public Schools","All Schools","Non-Title I",4.7,0,0
"2020 - 2021",DIV,"Roanoke County Public Schools","All Schools","Title I",3.6,0,0
"2020 - 2021",DIV,"Roanoke County Public Schools","Low Poverty","All Schools",5.3,0,0
"2020 - 2021",DIV,"Roanoke County Public Schools","Low Poverty","Non-Title I",5.3,0,0
"2020 - 2021",DIV,"Rockbridge County Public Schools","All Schools","All Schools",2.4,3.6,1.2
"2020 - 2021",DIV,"Rockbridge County Public Schools","All Schools","Non-Title I",4.3,6.5,2.2
"2020 - 2021",DIV,"Rockbridge County Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"Rockingham County Public Schools","All Schools","All Schools",3.3,2.1,0.5
"2020 - 2021",DIV,"Rockingham County Public Schools","All Schools","Non-Title I",2.9,2.2,0.5
"2020 - 2021",DIV,"Rockingham County Public Schools","All Schools","Title I",3.9,1.8,0.5
"2020 - 2021",DIV,"Rockingham County Public Schools","Low Poverty","All Schools",7.3,2.4,2.4
"2020 - 2021",DIV,"Rockingham County Public Schools","Low Poverty","Non-Title I",7.3,2.4,2.4
"2020 - 2021",DIV,"Russell County Public Schools","All Schools","All Schools",7.5,2.4,0.9
"2020 - 2021",DIV,"Russell County Public Schools","All Schools","Non-Title I",6,3,0.8
"2020 - 2021",DIV,"Russell County Public Schools","All Schools","Title I",8.5,2,1
"2020 - 2021",DIV,"Russell County Public Schools","High Poverty","All Schools",12.8,2.6,1.3
"2020 - 2021",DIV,"Russell County Public Schools","High Poverty","Non-Title I",6.1,6.1,3
"2020 - 2021",DIV,"Russell County Public Schools","High Poverty","Title I",17.8,0,0
"2020 - 2021",DIV,"Salem City Public Schools","All Schools","All Schools",1.6,7.9,0.3
"2020 - 2021",DIV,"Salem City Public Schools","All Schools","Non-Title I",0.8,9.2,0
"2020 - 2021",DIV,"Salem City Public Schools","All Schools","Title I",3.8,3.8,1.3
"2020 - 2021",DIV,"Salem City Public Schools","Low Poverty","All Schools",0,8.3,0
"2020 - 2021",DIV,"Salem City Public Schools","Low Poverty","Non-Title I",0,8.3,0
"2020 - 2021",DIV,"Scott County Public Schools","All Schools","All Schools",4.4,7.2,0.9
"2020 - 2021",DIV,"Scott County Public Schools","All Schools","Non-Title I",6,9.3,1.3
"2020 - 2021",DIV,"Scott County Public Schools","All Schools","Title I",2.9,5.3,0.6
"2020 - 2021",DIV,"Scott County Public Schools","High Poverty","All Schools",3.9,7.9,0
"2020 - 2021",DIV,"Scott County Public Schools","High Poverty","Non-Title I",1.9,15.1,0
"2020 - 2021",DIV,"Scott County Public Schools","High Poverty","Title I",5.4,2.7,0
"2020 - 2021",DIV,"Shenandoah County Public Schools","All Schools","All Schools",4.7,3.3,0.2
"2020 - 2021",DIV,"Shenandoah County Public Schools","All Schools","Non-Title I",3.8,5,0.3
"2020 - 2021",DIV,"Shenandoah County Public Schools","All Schools","Title I",6.3,0.5,0
"2020 - 2021",DIV,"Shenandoah County Public Schools","Low Poverty","All Schools",7.1,1.8,0
"2020 - 2021",DIV,"Shenandoah County Public Schools","Low Poverty","Non-Title I",7.1,1.8,0
"2020 - 2021",DIV,"Smyth County Public Schools","All Schools","All Schools",4.6,8.8,0.9
"2020 - 2021",DIV,"Smyth County Public Schools","All Schools","Non-Title I",3.8,14.5,0.9
"2020 - 2021",DIV,"Smyth County Public Schools","All Schools","Title I",5.6,2,1
"2020 - 2021",DIV,"Smyth County Public Schools","High Poverty","All Schools",3.7,14.2,0.9
"2020 - 2021",DIV,"Smyth County Public Schools","High Poverty","Non-Title I",3.7,14.2,0.9
"2020 - 2021",DIV,"Southampton County Public Schools","All Schools","All Schools",4.1,18.9,2.3
"2020 - 2021",DIV,"Southampton County Public Schools","All Schools","Non-Title I",4.9,28.2,2.9
"2020 - 2021",DIV,"Southampton County Public Schools","All Schools","Title I",3.4,10.9,1.7
"2020 - 2021",DIV,"Spotsylvania County Public Schools","All Schools","All Schools",7.2,6.2,1.8
"2020 - 2021",DIV,"Spotsylvania County Public Schools","All Schools","Non-Title I",7.3,7.1,1.9
"2020 - 2021",DIV,"Spotsylvania County Public Schools","All Schools","Title I",6.8,3.3,1.5
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Low Poverty","All Schools",8.8,6.1,1
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Low Poverty","Non-Title I",8.8,6.1,1
"2020 - 2021",DIV,"Stafford County Public Schools","All Schools","All Schools",8.7,11.7,2.4
"2020 - 2021",DIV,"Stafford County Public Schools","All Schools","Non-Title I",8.4,12.7,2.3
"2020 - 2021",DIV,"Stafford County Public Schools","All Schools","Title I",9.7,7.2,2.8
"2020 - 2021",DIV,"Stafford County Public Schools","Low Poverty","All Schools",7.4,11.8,1.9
"2020 - 2021",DIV,"Stafford County Public Schools","Low Poverty","Non-Title I",7.4,11.8,1.9
"2020 - 2021",DIV,"Staunton City Public Schools","All Schools","All Schools",5.4,3.9,2
"2020 - 2021",DIV,"Staunton City Public Schools","All Schools","Non-Title I",5.4,6.3,2.7
"2020 - 2021",DIV,"Staunton City Public Schools","All Schools","Title I",5.3,1.1,1.1
"2020 - 2021",DIV,"Staunton City Public Schools","High Poverty","All Schools",11.4,11.4,4.5
"2020 - 2021",DIV,"Staunton City Public Schools","High Poverty","Non-Title I",11.4,11.4,4.5
"2020 - 2021",DIV,"Suffolk City Public Schools","All Schools","All Schools",2.1,1.9,0
"2020 - 2021",DIV,"Suffolk City Public Schools","All Schools","Non-Title I",2,2.8,0
"2020 - 2021",DIV,"Suffolk City Public Schools","All Schools","Title I",2.3,0.3,0
"2020 - 2021",DIV,"Suffolk City Public Schools","High Poverty","All Schools",2.4,1.2,0
"2020 - 2021",DIV,"Suffolk City Public Schools","High Poverty","Non-Title I",1.8,5.3,0
"2020 - 2021",DIV,"Suffolk City Public Schools","High Poverty","Title I",2.6,0,0
"2020 - 2021",DIV,"Suffolk City Public Schools","Low Poverty","All Schools",1.4,0.9,0
