"Standards of Accreditation (SOA) Offenses Data"
3/17/2022

Year,Level,Division,Type,Count
"2020 - 2021",DIV,"Henrico County Public Schools","Offenses Against Student",17
"2020 - 2021",DIV,"Henrico County Public Schools","Other Offenses Against Persons",42
"2020 - 2021",DIV,"Henrico County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Henrico County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Henrico County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Henry County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",11
"2020 - 2021",DIV,"Henry County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Henry County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Henry County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Henry County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Henry County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Highland County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Highland County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Highland County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Hopewell City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Hopewell City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Hopewell City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Hopewell City Public Schools","Other Offenses Against Persons",11
"2020 - 2021",DIV,"Hopewell City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Hopewell City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",24
"2020 - 2021",DIV,"Isle of Wight County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Disorderly or Disruptive Behavior Offenses",28
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Other Offenses Against Persons",43
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Isle of Wight County Public Schools","Weapons Offenses",10
"2020 - 2021",DIV,"King George County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"King George County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"King George County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"King George County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"King William County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",30
"2020 - 2021",DIV,"King William County Public Schools","Disorderly or Disruptive Behavior Offenses",45
"2020 - 2021",DIV,"King William County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"King William County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"King William County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"King William County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"King William County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"King and Queen County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"King and Queen County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"King and Queen County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"King and Queen County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Lancaster County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Lancaster County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Lancaster County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Lancaster County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Lee County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",26
"2020 - 2021",DIV,"Lee County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Lee County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Lee County Public Schools","Other Offenses Against Persons",10
"2020 - 2021",DIV,"Lee County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Lexington City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Lexington City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Lexington City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Lexington City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Loudoun County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",43
"2020 - 2021",DIV,"Loudoun County Public Schools","Disorderly or Disruptive Behavior Offenses",23
"2020 - 2021",DIV,"Loudoun County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Loudoun County Public Schools","Offenses Against Student",32
"2020 - 2021",DIV,"Loudoun County Public Schools","Other Offenses Against Persons",38
"2020 - 2021",DIV,"Loudoun County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Loudoun County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Loudoun County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Louisa County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Louisa County Public Schools","Disorderly or Disruptive Behavior Offenses",18
"2020 - 2021",DIV,"Louisa County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Louisa County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Louisa County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Louisa County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Lunenburg County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Lunenburg County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Lunenburg County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Lynchburg City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Lynchburg City Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Lynchburg City Public Schools","Disorderly or Disruptive Behavior Offenses",15
"2020 - 2021",DIV,"Lynchburg City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Lynchburg City Public Schools","Other Offenses Against Persons",19
"2020 - 2021",DIV,"Lynchburg City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Lynchburg City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Madison County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Madison County Public Schools","Disorderly or Disruptive Behavior Offenses",28
"2020 - 2021",DIV,"Madison County Public Schools","Offenses Against Student",16
"2020 - 2021",DIV,"Madison County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Manassas City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Manassas City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Manassas Park City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Martinsville City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Martinsville City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Martinsville City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Martinsville City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Mathews County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Mathews County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Mathews County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",13
"2020 - 2021",DIV,"Mecklenburg County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Disorderly or Disruptive Behavior Offenses",17
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Mecklenburg County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Middlesex County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",11
"2020 - 2021",DIV,"Middlesex County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Middlesex County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Middlesex County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Middlesex County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Montgomery County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",66
"2020 - 2021",DIV,"Montgomery County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Montgomery County Public Schools","Disorderly or Disruptive Behavior Offenses",52
"2020 - 2021",DIV,"Montgomery County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Montgomery County Public Schools","Offenses Against Student",15
"2020 - 2021",DIV,"Montgomery County Public Schools","Other Offenses Against Persons",23
"2020 - 2021",DIV,"Montgomery County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Montgomery County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Montgomery County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Nelson County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Nelson County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Nelson County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"New Kent County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"New Kent County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"New Kent County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"New Kent County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"New Kent County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"New Kent County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Newport News City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",15
"2020 - 2021",DIV,"Newport News City Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Newport News City Public Schools","Disorderly or Disruptive Behavior Offenses",17
"2020 - 2021",DIV,"Newport News City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Newport News City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Newport News City Public Schools","Other Offenses Against Persons",13
"2020 - 2021",DIV,"Newport News City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Newport News City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Norfolk City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Norfolk City Public Schools","Disorderly or Disruptive Behavior Offenses",19
"2020 - 2021",DIV,"Norfolk City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Norfolk City Public Schools","Other Offenses Against Persons",22
"2020 - 2021",DIV,"Norfolk City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Northampton County Public Schools","Disorderly or Disruptive Behavior Offenses",12
"2020 - 2021",DIV,"Northampton County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Northampton County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Northampton County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Northampton County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Northumberland County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Northumberland County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Northumberland County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Norton City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Norton City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Nottoway County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Nottoway County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Nottoway County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Orange County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Orange County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Orange County Public Schools","Disorderly or Disruptive Behavior Offenses",15
"2020 - 2021",DIV,"Orange County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Orange County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Orange County Public Schools","Other Offenses Against Persons",13
"2020 - 2021",DIV,"Orange County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Page County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",25
"2020 - 2021",DIV,"Page County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Page County Public Schools","Disorderly or Disruptive Behavior Offenses",19
"2020 - 2021",DIV,"Page County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Page County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Page County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Page County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Page County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Patrick County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Patrick County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Patrick County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Patrick County Public Schools","Other Offenses Against Persons",11
"2020 - 2021",DIV,"Petersburg City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Petersburg City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Petersburg City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Disorderly or Disruptive Behavior Offenses",55
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Other Offenses Against Persons",13
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Poquoson City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Poquoson City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Poquoson City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Poquoson City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Portsmouth City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Portsmouth City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Portsmouth City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Powhatan County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",35
"2020 - 2021",DIV,"Powhatan County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Powhatan County Public Schools","Disorderly or Disruptive Behavior Offenses",16
"2020 - 2021",DIV,"Powhatan County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Powhatan County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Powhatan County Public Schools","Other Offenses Against Persons",18
"2020 - 2021",DIV,"Powhatan County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Powhatan County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Prince Edward County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Prince Edward County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Prince Edward County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Prince Edward County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Prince George County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",42
"2020 - 2021",DIV,"Prince George County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Prince George County Public Schools","Disorderly or Disruptive Behavior Offenses",71
"2020 - 2021",DIV,"Prince George County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Prince George County Public Schools","Offenses Against Student",14
"2020 - 2021",DIV,"Prince George County Public Schools","Other Offenses Against Persons",31
"2020 - 2021",DIV,"Prince George County Public Schools","Technology Offenses",10
"2020 - 2021",DIV,"Prince George County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Prince William County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",34
"2020 - 2021",DIV,"Prince William County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Prince William County Public Schools","Disorderly or Disruptive Behavior Offenses",51
"2020 - 2021",DIV,"Prince William County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Prince William County Public Schools","Offenses Against Student",29
"2020 - 2021",DIV,"Prince William County Public Schools","Other Offenses Against Persons",18
"2020 - 2021",DIV,"Prince William County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Prince William County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Prince William County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Pulaski County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",34
"2020 - 2021",DIV,"Pulaski County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Pulaski County Public Schools","Disorderly or Disruptive Behavior Offenses",53
"2020 - 2021",DIV,"Pulaski County Public Schools","Offenses Against Staff",11
"2020 - 2021",DIV,"Pulaski County Public Schools","Offenses Against Student",30
"2020 - 2021",DIV,"Pulaski County Public Schools","Other Offenses Against Persons",48
"2020 - 2021",DIV,"Pulaski County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Pulaski County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Radford City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Radford City Public Schools","Disorderly or Disruptive Behavior Offenses",19
"2020 - 2021",DIV,"Radford City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Radford City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Radford City Public Schools","Other Offenses Against Persons",13
"2020 - 2021",DIV,"Rappahannock County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Rappahannock County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Rappahannock County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Rappahannock County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Rappahannock County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Rappahannock County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Richmond City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Richmond City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Richmond City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Richmond City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Richmond City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Richmond City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Richmond County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Richmond County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Richmond County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Roanoke City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",46
"2020 - 2021",DIV,"Roanoke City Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Roanoke City Public Schools","Disorderly or Disruptive Behavior Offenses",35
"2020 - 2021",DIV,"Roanoke City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Roanoke City Public Schools","Offenses Against Student",13
"2020 - 2021",DIV,"Roanoke City Public Schools","Other Offenses Against Persons",99
"2020 - 2021",DIV,"Roanoke City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Roanoke City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Roanoke City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Roanoke County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",43
"2020 - 2021",DIV,"Roanoke County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Roanoke County Public Schools","Disorderly or Disruptive Behavior Offenses",68
"2020 - 2021",DIV,"Roanoke County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Roanoke County Public Schools","Offenses Against Student",20
"2020 - 2021",DIV,"Roanoke County Public Schools","Other Offenses Against Persons",47
"2020 - 2021",DIV,"Roanoke County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Roanoke County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Rockbridge County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Rockbridge County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Rockingham County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",51
"2020 - 2021",DIV,"Rockingham County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Rockingham County Public Schools","Disorderly or Disruptive Behavior Offenses",33
"2020 - 2021",DIV,"Rockingham County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Rockingham County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Rockingham County Public Schools","Other Offenses Against Persons",35
"2020 - 2021",DIV,"Rockingham County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Rockingham County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Rockingham County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Russell County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Russell County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Russell County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Russell County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Russell County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Russell County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Salem City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",19
"2020 - 2021",DIV,"Salem City Public Schools","Disorderly or Disruptive Behavior Offenses",13
"2020 - 2021",DIV,"Salem City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Salem City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Salem City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Salem City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Salem City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Salem City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Scott County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",27
"2020 - 2021",DIV,"Scott County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Scott County Public Schools","Disorderly or Disruptive Behavior Offenses",16
"2020 - 2021",DIV,"Scott County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Scott County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Scott County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Shenandoah County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",28
"2020 - 2021",DIV,"Shenandoah County Public Schools","Disorderly or Disruptive Behavior Offenses",32
"2020 - 2021",DIV,"Shenandoah County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Shenandoah County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Shenandoah County Public Schools","Other Offenses Against Persons",13
"2020 - 2021",DIV,"Shenandoah County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Shenandoah County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Smyth County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",35
"2020 - 2021",DIV,"Smyth County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Smyth County Public Schools","Disorderly or Disruptive Behavior Offenses",11
"2020 - 2021",DIV,"Smyth County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Smyth County Public Schools","Other Offenses Against Persons",38
"2020 - 2021",DIV,"Smyth County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Southampton County Public Schools","Disorderly or Disruptive Behavior Offenses",20
"2020 - 2021",DIV,"Southampton County Public Schools","Other Offenses Against Persons",20
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",37
"2020 - 2021",DIV,"Spotsylvania County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Disorderly or Disruptive Behavior Offenses",61
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Offenses Against Student",19
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Other Offenses Against Persons",51
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Stafford County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",53
"2020 - 2021",DIV,"Stafford County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Stafford County Public Schools","Disorderly or Disruptive Behavior Offenses",64
"2020 - 2021",DIV,"Stafford County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Stafford County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Stafford County Public Schools","Other Offenses Against Persons",28
"2020 - 2021",DIV,"Stafford County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Stafford County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Staunton City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Staunton City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Staunton City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Staunton City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Staunton City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Suffolk City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Suffolk City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Suffolk City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Suffolk City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Suffolk City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Surry County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Surry County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Surry County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Surry County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Sussex County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Sussex County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Sussex County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Sussex County Public Schools","Weapons Offenses",<
