Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
POWHATAN CO PBLC SCHS,Virginia,VIRGINIA,51145,Powhatan County,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4317,576,25,301.13,14.34,6618,4093,11836,76203000,0
PRINCE EDWARD CO PBLC SCHS,Virginia,VIRGINIA,51147,Prince Edward County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,33-Town: Remote,1-Yes,1-Yes,Other,2079,278,35,160.82,12.93,7053,4173,12591,6653000,0
PRINCE GEORGE CO PBLC SCHS,Virginia,VIRGINIA,51149,Prince George County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,6360,851,83,420.15,15.14,6314,3717,10858,0,0
PRINCE WILLIAM CO PBLC SCHS,Virginia,VIRGINIA,51153,Prince William County,94,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,90843,11349,15001,5594.16,16.24,6616,4446,13917,865535000,0
PULASKI CO PBLC SCHS,Virginia,VIRGINIA,51155,Pulaski County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4081,653,42,293.11,13.92,6648,4272,11933,0,0
RADFORD CITY PBLC SCHS,Virginia,VIRGINIA,51750,Radford city,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,1646,211,13,120.19,13.69,6645,3572,11199,0,0
RAPPAHANNOCK CO PBLC SCHS,Virginia,VIRGINIA,51157,Rappahannock County,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,802,114,29,68.95,11.63,9436,5685,16057,2005000,0
RICHMOND CITY PBLC SCHS,Virginia,VIRGINIA,51760,Richmond city,54,2,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,24763,3961,2041,1545.91,16.02,8412,5498,15183,178852000,0
RICHMOND CO PBLC SCHS,Virginia,VIRGINIA,51159,Richmond County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1314,163,35,85.50,15.37,6855,4015,12509,14987000,0
ROANOKE CITY PBLC SCHS,Virginia,VIRGINIA,51770,Roanoke city,26,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,13749,2213,1199,898.26,15.31,7877,5137,14752,89422000,0
ROANOKE CO PBLC SCHS,Virginia,VIRGINIA,51161,Roanoke County,28,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,22-Suburb: Mid-size,1-Yes,1-Yes,Other,14121,2285,349,1023.13,13.80,6941,3203,11598,77873000,0
ROCKBRIDGE CO PBLC SCHS,Virginia,VIRGINIA,51163,Rockbridge County,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,2842,392,31,221.68,12.82,7271,3993,12767,38971000,0
ROCKINGHAM CO PBLC SCHS,Virginia,VIRGINIA,51660,Rockingham County,23,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,11913,1174,863,813.85,14.64,7272,4148,13581,79062000,5771000
RUSSELL CO PBLC SCHS,Virginia,VIRGINIA,51167,Russell County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3785,580,9,264.53,14.31,6588,3639,11403,11286000,0
SALEM CITY PBLC SCHS,Virginia,VIRGINIA,51775,Salem city,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,22-Suburb: Mid-size,1-Yes,1-Yes,Other,3958,577,127,255.37,15.50,7099,3428,11982,0,0
SCOTT CO PBLC SCHS,Virginia,VIRGINIA,51169,Scott County,14,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,22-Suburb: Mid-size,1-Yes,1-Yes,Other,3533,614,6,244.49,14.45,6706,3359,11261,2873000,0
SHENANDOAH CO PBLC SCHS,Virginia,VIRGINIA,51171,Shenandoah County,10,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,6030,868,384,438.45,13.75,7202,4078,12591,15782000,0
SMYTH CO PBLC SCHS,Virginia,VIRGINIA,51173,Smyth County,14,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4332,655,27,310.94,13.93,6756,3252,11468,24359000,0
SOUTHAMPTON CO PBLC SCHS,Virginia,VIRGINIA,51175,Southampton County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2869,386,6,179.34,16.00,6197,4606,12243,12946000,0
SPOTSYLVANIA CO PBLC SCHS,Virginia,VIRGINIA,51177,Spotsylvania County,34,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,23668,3125,1214,1437.35,16.47,6647,4144,13247,156076000,1352000
STAFFORD CO PBLC SCHS,Virginia,VIRGINIA,51179,Stafford County,32,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,29270,3510,1738,1707.67,17.14,6533,3396,11814,291684000,0
STAUNTON CITY PBLC SCHS,Virginia,VIRGINIA,51790,Staunton city,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,2727,405,40,207.37,13.15,8242,4281,13989,0,0
SUFFOLK CITY PBLC SCHS,Virginia,VIRGINIA,51800,Suffolk city,21,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,14265,1874,63,993.07,14.36,7131,3374,12547,0,0
SURRY CO PBLC SCHS,Virginia,VIRGINIA,51181,Surry County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,758,143,3,86.37,8.78,11493,8532,21339,0,0
SUSSEX CO PBLC SCHS,Virginia,VIRGINIA,51183,Sussex County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1074,165,10,82.37,13.04,8769,7816,18147,14317000,0
TAZEWELL CO PBLC SCHS,Virginia,VIRGINIA,51185,Tazewell County,14,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,5653,946,12,367.52,15.38,5685,3205,9744,9306000,1610000
VA BEACH CITY PBLC SCHS,Virginia,VIRGINIA,51810,Virginia Beach city,87,1,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,11-City: Large,1-Yes,1-Yes,Other,68624,8109,1263,4317.58,15.89,6938,4521,13330,0,0
WARREN CO PBLC SCHS,Virginia,VIRGINIA,51187,Warren County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,31-Town: Fringe,1-Yes,1-Yes,Other,5298,697,135,367.21,14.43,6423,4111,11654,8206000,0
WASHINGTON CO PBLC SCHS,Virginia,VIRGINIA,51191,Washington County,16,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,7090,1191,51,499.14,14.20,6717,3782,11370,0,0
WAYNESBORO CITY PBLC SCHS,Virginia,VIRGINIA,51820,Waynesboro city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,3032,351,125,207.84,14.59,7421,4072,13243,37832000,0
WEST POINT PBLC SCHS,Virginia,VIRGINIA,51101,West Point,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,31-Town: Fringe,1-Yes,1-Yes,Other,813,89,4,64.00,12.70,7700,4736,13411,659000,0
WESTMORELAND CO PBLC SCHS,Virginia,VIRGINIA,51193,Westmoreland County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1651,257,79,134.06,12.32,8026,4769,14657,1220000,0
WILLIAMSBURG-JAMES CITY PBLC SCHS,Virginia,VIRGINIA,51830,Williamsburg-James City County,16,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,23-Suburb: Small,1-Yes,1-Yes,Other,11666,1878,538,738.18,15.80,7619,4481,14034,0,0
WINCHESTER CITY PBLC SCHS,Virginia,VIRGINIA,51840,Winchester city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,4357,618,823,339.88,12.82,8255,5003,14733,0,0
WISE CO PBLC SCHS,Virginia,VIRGINIA,51195,Wise County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,5755,909,13,390.73,14.73,6029,2937,10537,55108000,0
WYTHE CO PBLC SCHS,Virginia,VIRGINIA,51197,Wythe County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4076,585,4,274.46,14.85,6584,3691,13214,22324000,0
YORK CO PBLC SCHS,Virginia,VIRGINIA,51199,York County,19,1,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,12750,1499,375,843.63,15.11,6667,3828,12397,66025000,0
