"Advanced Program Information"
3/17/2022

Year,Level,Division,"Enrollment Type",Count,Percent
"2018 - 2019",DIV,"Northampton County Public Schools","Dual Enrollment enrollment",34,7.33
"2018 - 2019",DIV,"Northumberland County Public Schools","Advanced Placement Test Taken Preliminary Results",34,8.21
"2018 - 2019",DIV,"Northumberland County Public Schools","Advanced Placement course enrollment",42,10.14
"2018 - 2019",DIV,"Northumberland County Public Schools","Dual Enrollment enrollment",215,51.93
"2018 - 2019",DIV,"Northumberland County Public Schools","Governors School enrollment",24,5.8
"2018 - 2019",DIV,"Norton City Public Schools","Advanced Placement Test Taken Preliminary Results",15,6.2
"2018 - 2019",DIV,"Norton City Public Schools","Dual Enrollment enrollment",70,28.93
"2018 - 2019",DIV,"Nottoway County Public Schools","Dual Enrollment enrollment",112,18.27
"2018 - 2019",DIV,"Nottoway County Public Schools","Governors School enrollment",18,2.94
"2018 - 2019",DIV,"Orange County Public Schools","Advanced Placement Test Taken Preliminary Results",32,2.13
"2018 - 2019",DIV,"Orange County Public Schools","Advanced Placement course enrollment",259,17.28
"2018 - 2019",DIV,"Orange County Public Schools","Dual Enrollment enrollment",95,6.34
"2018 - 2019",DIV,"Orange County Public Schools","Governors School enrollment",125,8.34
"2018 - 2019",DIV,"Page County Public Schools","Dual Enrollment enrollment",299,27.11
"2018 - 2019",DIV,"Page County Public Schools","Governors School enrollment",12,1.09
"2018 - 2019",DIV,"Patrick County Public Schools","Advanced Placement Test Taken Preliminary Results",21,3.04
"2018 - 2019",DIV,"Patrick County Public Schools","Advanced Placement course enrollment",22,3.18
"2018 - 2019",DIV,"Patrick County Public Schools","Dual Enrollment enrollment",97,14.04
"2018 - 2019",DIV,"Petersburg City Public Schools","Advanced Placement Test Taken Preliminary Results",32,3.18
"2018 - 2019",DIV,"Petersburg City Public Schools","Advanced Placement course enrollment",32,3.18
"2018 - 2019",DIV,"Petersburg City Public Schools","Dual Enrollment enrollment",18,1.79
"2018 - 2019",DIV,"Petersburg City Public Schools","Governors School enrollment",73,7.26
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",105,3.73
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Advanced Placement course enrollment",245,8.7
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Dual Enrollment enrollment",809,28.73
"2018 - 2019",DIV,"Pittsylvania County Public Schools","Governors School enrollment",53,1.88
"2018 - 2019",DIV,"Poquoson City Public Schools","Advanced Placement Test Taken Preliminary Results",135,18.91
"2018 - 2019",DIV,"Poquoson City Public Schools","Advanced Placement course enrollment",158,22.13
"2018 - 2019",DIV,"Poquoson City Public Schools","Dual Enrollment enrollment",49,6.86
"2018 - 2019",DIV,"Poquoson City Public Schools","Governors School enrollment",12,1.68
"2018 - 2019",DIV,"Portsmouth City Public Schools","Advanced Placement Test Taken Preliminary Results",81,2.13
"2018 - 2019",DIV,"Portsmouth City Public Schools","Advanced Placement course enrollment",312,8.2
"2018 - 2019",DIV,"Portsmouth City Public Schools","Dual Enrollment enrollment",300,7.88
"2018 - 2019",DIV,"Portsmouth City Public Schools","Governors School enrollment",22,.58
"2018 - 2019",DIV,"Powhatan County Public Schools","Advanced Placement Test Taken Preliminary Results",398,28.15
"2018 - 2019",DIV,"Powhatan County Public Schools","Advanced Placement course enrollment",399,28.22
"2018 - 2019",DIV,"Powhatan County Public Schools","Dual Enrollment enrollment",178,12.59
"2018 - 2019",DIV,"Powhatan County Public Schools","Governors School enrollment",21,1.49
"2018 - 2019",DIV,"Prince Edward County Public Schools","Advanced Placement Test Taken Preliminary Results",26,4.2
"2018 - 2019",DIV,"Prince Edward County Public Schools","Advanced Placement course enrollment",32,5.17
"2018 - 2019",DIV,"Prince Edward County Public Schools","Dual Enrollment enrollment",133,21.49
"2018 - 2019",DIV,"Prince Edward County Public Schools","Governors School enrollment",12,1.94
"2018 - 2019",DIV,"Prince George County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.05
"2018 - 2019",DIV,"Prince George County Public Schools","Advanced Placement course enrollment",2,.11
"2018 - 2019",DIV,"Prince George County Public Schools","Dual Enrollment enrollment",187,10.28
"2018 - 2019",DIV,"Prince George County Public Schools","Governors School enrollment",21,1.15
"2018 - 2019",DIV,"Prince William County Public Schools","Advanced Placement Test Taken Preliminary Results",3514,12.46
"2018 - 2019",DIV,"Prince William County Public Schools","Advanced Placement course enrollment",6307,22.36
"2018 - 2019",DIV,"Prince William County Public Schools","Dual Enrollment enrollment",1892,6.71
"2018 - 2019",DIV,"Prince William County Public Schools","Governors School enrollment",99,.35
"2018 - 2019",DIV,"Prince William County Public Schools","IB Course enrollment",916,3.25
"2018 - 2019",DIV,"Prince William County Public Schools","IB Exam Taken",690,2.45
"2018 - 2019",DIV,"Prince William County Public Schools","Seniors enrolled in IB Program",58,.21
"2018 - 2019",DIV,"Pulaski County Public Schools","Advanced Placement Test Taken Preliminary Results",84,6.83
"2018 - 2019",DIV,"Pulaski County Public Schools","Advanced Placement course enrollment",185,15.05
"2018 - 2019",DIV,"Pulaski County Public Schools","Dual Enrollment enrollment",279,22.7
"2018 - 2019",DIV,"Pulaski County Public Schools","Governors School enrollment",19,1.55
"2018 - 2019",DIV,"Radford City Public Schools","Dual Enrollment enrollment",107,21.02
"2018 - 2019",DIV,"Radford City Public Schools","Governors School enrollment",6,1.18
"2018 - 2019",DIV,"Rappahannock County Public Schools","Advanced Placement Test Taken Preliminary Results",34,12.55
"2018 - 2019",DIV,"Rappahannock County Public Schools","Advanced Placement course enrollment",41,15.13
"2018 - 2019",DIV,"Rappahannock County Public Schools","Dual Enrollment enrollment",57,21.03
"2018 - 2019",DIV,"Richmond City Public Schools","Advanced Placement Test Taken Preliminary Results",402,6.96
"2018 - 2019",DIV,"Richmond City Public Schools","Advanced Placement course enrollment",697,12.06
"2018 - 2019",DIV,"Richmond City Public Schools","Dual Enrollment enrollment",28,.48
"2018 - 2019",DIV,"Richmond City Public Schools","Governors School enrollment",289,5
"2018 - 2019",DIV,"Richmond City Public Schools","IB Course enrollment",52,.9
"2018 - 2019",DIV,"Richmond City Public Schools","Seniors enrolled in IB Program",27,.47
"2018 - 2019",DIV,"Richmond County Public Schools","Advanced Placement Test Taken Preliminary Results",42,10.53
"2018 - 2019",DIV,"Richmond County Public Schools","Advanced Placement course enrollment",42,10.53
"2018 - 2019",DIV,"Richmond County Public Schools","Dual Enrollment enrollment",130,32.58
"2018 - 2019",DIV,"Richmond County Public Schools","Governors School enrollment",20,5.01
"2018 - 2019",DIV,"Roanoke City Public Schools","Advanced Placement Test Taken Preliminary Results",638,17.61
"2018 - 2019",DIV,"Roanoke City Public Schools","Advanced Placement course enrollment",554,15.3
"2018 - 2019",DIV,"Roanoke City Public Schools","Dual Enrollment enrollment",405,11.18
"2018 - 2019",DIV,"Roanoke City Public Schools","Governors School enrollment",135,3.73
"2018 - 2019",DIV,"Roanoke County Public Schools","Advanced Placement Test Taken Preliminary Results",659,14.82
"2018 - 2019",DIV,"Roanoke County Public Schools","Advanced Placement course enrollment",1121,25.21
"2018 - 2019",DIV,"Roanoke County Public Schools","Dual Enrollment enrollment",1019,22.92
"2018 - 2019",DIV,"Roanoke County Public Schools","Governors School enrollment",49,1.1
"2018 - 2019",DIV,"Rockbridge County Public Schools","Advanced Placement Test Taken Preliminary Results",100,10.03
"2018 - 2019",DIV,"Rockbridge County Public Schools","Advanced Placement course enrollment",163,16.35
"2018 - 2019",DIV,"Rockbridge County Public Schools","Dual Enrollment enrollment",209,20.96
"2018 - 2019",DIV,"Rockingham County Public Schools","Advanced Placement Test Taken Preliminary Results",317,8.59
"2018 - 2019",DIV,"Rockingham County Public Schools","Advanced Placement course enrollment",504,13.66
"2018 - 2019",DIV,"Rockingham County Public Schools","Dual Enrollment enrollment",214,5.8
"2018 - 2019",DIV,"Rockingham County Public Schools","Governors School enrollment",29,.79
"2018 - 2019",DIV,"Russell County Public Schools","Advanced Placement course enrollment",3,.27
"2018 - 2019",DIV,"Russell County Public Schools","Dual Enrollment enrollment",280,25.48
"2018 - 2019",DIV,"Salem City Public Schools","Advanced Placement Test Taken Preliminary Results",223,17.45
"2018 - 2019",DIV,"Salem City Public Schools","Advanced Placement course enrollment",225,17.61
"2018 - 2019",DIV,"Salem City Public Schools","Dual Enrollment enrollment",510,39.91
"2018 - 2019",DIV,"Salem City Public Schools","IB Course enrollment",301,23.55
"2018 - 2019",DIV,"Salem City Public Schools","IB Exam Taken",61,4.77
"2018 - 2019",DIV,"Salem City Public Schools","Seniors enrolled in IB Program",2,.16
"2018 - 2019",DIV,"Scott County Public Schools","Dual Enrollment enrollment",280,27.45
"2018 - 2019",DIV,"Shenandoah County Public Schools","Advanced Placement Test Taken Preliminary Results",6,.32
"2018 - 2019",DIV,"Shenandoah County Public Schools","Advanced Placement course enrollment",261,13.8
"2018 - 2019",DIV,"Shenandoah County Public Schools","Dual Enrollment enrollment",391,20.68
"2018 - 2019",DIV,"Shenandoah County Public Schools","Governors School enrollment",25,1.32
"2018 - 2019",DIV,"Smyth County Public Schools","Advanced Placement Test Taken Preliminary Results",86,6.48
"2018 - 2019",DIV,"Smyth County Public Schools","Advanced Placement course enrollment",109,8.21
"2018 - 2019",DIV,"Smyth County Public Schools","Dual Enrollment enrollment",336,25.3
"2018 - 2019",DIV,"Smyth County Public Schools","Governors School enrollment",6,.45
"2018 - 2019",DIV,"Southampton County Public Schools","Advanced Placement Test Taken Preliminary Results",40,4.8
"2018 - 2019",DIV,"Southampton County Public Schools","Advanced Placement course enrollment",43,5.16
"2018 - 2019",DIV,"Southampton County Public Schools","Dual Enrollment enrollment",151,18.13
"2018 - 2019",DIV,"Southampton County Public Schools","Governors School enrollment",14,1.68
"2018 - 2019",DIV,"Spotsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",1872,24.77
"2018 - 2019",DIV,"Spotsylvania County Public Schools","Advanced Placement course enrollment",2378,31.47
"2018 - 2019",DIV,"Spotsylvania County Public Schools","Dual Enrollment enrollment",454,6.01
"2018 - 2019",DIV,"Spotsylvania County Public Schools","Governors School enrollment",240,3.18
"2018 - 2019",DIV,"Spotsylvania County Public Schools","IB Course enrollment",17,.22
"2018 - 2019",DIV,"Spotsylvania County Public Schools","IB Exam Taken",12,.16
"2018 - 2019",DIV,"Spotsylvania County Public Schools","Seniors enrolled in IB Program",5,.07
"2018 - 2019",DIV,"Stafford County Public Schools","Advanced Placement Test Taken Preliminary Results",2191,23.12
"2018 - 2019",DIV,"Stafford County Public Schools","Advanced Placement course enrollment",2358,24.88
"2018 - 2019",DIV,"Stafford County Public Schools","Dual Enrollment enrollment",558,5.89
"2018 - 2019",DIV,"Stafford County Public Schools","Governors School enrollment",281,2.97
"2018 - 2019",DIV,"Stafford County Public Schools","IB Course enrollment",594,6.27
"2018 - 2019",DIV,"Stafford County Public Schools","IB Exam Taken",347,3.66
"2018 - 2019",DIV,"Stafford County Public Schools","Seniors enrolled in IB Program",20,.21
"2018 - 2019",DIV,"Staunton City Public Schools","Advanced Placement Test Taken Preliminary Results",56,7.26
"2018 - 2019",DIV,"Staunton City Public Schools","Advanced Placement course enrollment",56,7.26
"2018 - 2019",DIV,"Staunton City Public Schools","Dual Enrollment enrollment",148,19.2
"2018 - 2019",DIV,"Staunton City Public Schools","Governors School enrollment",41,5.32
"2018 - 2019",DIV,"Suffolk City Public Schools","Advanced Placement Test Taken Preliminary Results",216,5.24
"2018 - 2019",DIV,"Suffolk City Public Schools","Advanced Placement course enrollment",331,8.04
"2018 - 2019",DIV,"Suffolk City Public Schools","Dual Enrollment enrollment",141,3.42
"2018 - 2019",DIV,"Suffolk City Public Schools","Governors School enrollment",33,.8
"2018 - 2019",DIV,"Suffolk City Public Schools","IB Course enrollment",47,1.14
"2018 - 2019",DIV,"Suffolk City Public Schools","Seniors enrolled in IB Program",16,.39
"2018 - 2019",DIV,"Surry County Public Schools","Advanced Placement Test Taken Preliminary Results",2,.85
"2018 - 2019",DIV,"Surry County Public Schools","Advanced Placement course enrollment",2,.85
"2018 - 2019",DIV,"Surry County Public Schools","Dual Enrollment enrollment",42,17.8
"2018 - 2019",DIV,"Surry County Public Schools","Governors School enrollment",6,2.54
"2018 - 2019",DIV,"Sussex County Public Schools","Dual Enrollment enrollment",11,3.5
"2018 - 2019",DIV,"Sussex County Public Schools","Governors School enrollment",8,2.55
"2018 - 2019",DIV,"Tazewell County Public Schools","Advanced Placement Test Taken Preliminary Results",16,.92
"2018 - 2019",DIV,"Tazewell County Public Schools","Advanced Placement course enrollment",117,6.7
"2018 - 2019",DIV,"Tazewell County Public Schools","Dual Enrollment enrollment",313,17.94
"2018 - 2019",DIV,"Virginia Beach City Public Schools","Advanced Placement Test Taken Preliminary Results",5358,25.81
"2018 - 2019",DIV,"Virginia Beach City Public Schools","Advanced Placement course enrollment",7438,35.83
"2018 - 2019",DIV,"Virginia Beach City Public Schools","Dual Enrollment enrollment",1153,5.55
"2018 - 2019",DIV,"Virginia Beach City Public Schools","Governors School enrollment",147,.71
"2018 - 2019",DIV,"Virginia Beach City Public Schools","IB Course enrollment",871,4.2
"2018 - 2019",DIV,"Virginia Beach City Public Schools","IB Exam Taken",302,1.45
"2018 - 2019",DIV,"Virginia Beach City Public Schools","Seniors enrolled in IB Program",211,1.02
"2018 - 2019",DIV,"Warren County Public Schools","Advanced Placement Test Taken Preliminary Results",103,6.16
"2018 - 2019",DIV,"Warren County Public Schools","Advanced Placement course enrollment",300,17.94
"2018 - 2019",DIV,"Warren County Public Schools","Dual Enrollment enrollment",319,19.08
"2018 - 2019",DIV,"Warren County Public Schools","Governors School enrollment",32,1.91
"2018 - 2019",DIV,"Washington County Public Schools","Advanced Placement Test Taken Preliminary Results",189,8.46
"2018 - 2019",DIV,"Washington County Public Schools","Advanced Placement course enrollment",208,9.31
"2018 - 2019",DIV,"Washington County Public Schools","Dual Enrollment enrollment",471,21.09
"2018 - 2019",DIV,"Washington County Public Schools","Governors School enrollment",13,.58
"2018 - 2019",DIV,"Waynesboro City Public Schools","Advanced Placement Test Taken Preliminary Results",86,10.19
"2018 - 2019",DIV,"Waynesboro City Public Schools","Advanced Placement course enrollment",166,19.67
"2018 - 2019",DIV,"Waynesboro City Public Schools","Dual Enrollment enrollment",72,8.53
"2018 - 2019",DIV,"Waynesboro City Public Schools","Governors School enrollment",43,5.09
"2018 - 2019",DIV,"West Point Public Schools","Advanced Placement Test Taken Preliminary Results",3,1.11
"2018 - 2019",DIV,"West Point Public Schools","Advanced Placement course enrollment",32,11.81
"2018 - 2019",DIV,"West Point Public Schools","Dual Enrollment enrollment",135,49.82
"2018 - 2019",DIV,"Westmoreland County Public Schools","Advanced Placement Test Taken Preliminary Results",12,2.45
"2018 - 2019",DIV,"Westmoreland County Public Schools","Advanced Placement course enrollment",23,4.7
"2018 - 2019",DIV,"Westmoreland County Public Schools","Dual Enrollment enrollment",69,14.11
"2018 - 2019",DIV,"Westmoreland County Public Schools","Governors School enrollment",18,3.68
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools","Advanced Placement Test Taken Preliminary Results",750,19.64
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools","Advanced Placement course enrollment",1210,31.69
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools","Dual Enrollment enrollment",274,7.18
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools","Governors School enrollment",29,.76
"2018 - 2019",DIV,"Winchester City Public Schools","Advanced Placement Test Taken Preliminary Results",113,8.56
"2018 - 2019",DIV,"Winchester City Public Schools","Advanced Placement course enrollment",307,23.26
"2018 - 2019",DIV,"Winchester City Public Schools","Dual Enrollment enrollment",239,18.11
"2018 - 2019",DIV,"Wise County Public Schools","Advanced Placement Test Taken Preliminary Results",27,1.61
"2018 - 2019",DIV,"Wise County Public Schools","Advanced Placement course enrollment",27,1.61
"2018 - 2019",DIV,"Wise County Public Schools","Dual Enrollment enrollment",364,21.72
"2018 - 2019",DIV,"Wise County Public Schools","Governors School enrollment",109,6.5
"2018 - 2019",DIV,"Wythe County Public Schools","Dual Enrollment enrollment",243,19.42
"2018 - 2019",DIV,"Wythe County Public Schools","Governors School enrollment",29,2.32
"2018 - 2019",DIV,"York County Public Schools","Advanced Placement Test Taken Preliminary Results",983,24.39
"2018 - 2019",DIV,"York County Public Schools","Advanced Placement course enrollment",1609,39.92
"2018 - 2019",DIV,"York County Public Schools","Dual Enrollment enrollment",58,1.44
"2018 - 2019",DIV,"York County Public Schools","Governors School enrollment",60,1.49
"2018 - 2019",DIV,"York County Public Schools","IB Course enrollment",72,1.79
"2018 - 2019",DIV,"York County Public Schools","IB Exam Taken",34,.84
"2018 - 2019",DIV,"York County Public Schools","Seniors enrolled in IB Program",16,.4
"2019 - 2020",DIV,"Accomack County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.06
"2019 - 2020",DIV,"Accomack County Public Schools","Advanced Placement course enrollment",3,.19
"2019 - 2020",DIV,"Accomack County Public Schools","Dual Enrollment enrollment",204,12.94
"2019 - 2020",DIV,"Albemarle County Public Schools","Advanced Placement Test Taken Preliminary Results",531,11.94
"2019 - 2020",DIV,"Albemarle County Public Schools","Advanced Placement course enrollment",1653,37.15
"2019 - 2020",DIV,"Albemarle County Public Schools","Dual Enrollment enrollment",941,21.15
"2019 - 2020",DIV,"Alexandria City Public Schools","Advanced Placement Test Taken Preliminary Results",620,14.95
"2019 - 2020",DIV,"Alexandria City Public Schools","Advanced Placement course enrollment",620,14.95
"2019 - 2020",DIV,"Alexandria City Public Schools","Dual Enrollment enrollment",653,15.74
"2019 - 2020",DIV,"Alleghany County Public Schools","Dual Enrollment enrollment",50,8.12
"2019 - 2020",DIV,"Alleghany County Public Schools","Governors School enrollment",24,3.9
"2019 - 2020",DIV,"Amelia County Public Schools","Advanced Placement Test Taken Preliminary Results",101,19.92
"2019 - 2020",DIV,"Amelia County Public Schools","Advanced Placement course enrollment",104,20.51
"2019 - 2020",DIV,"Amelia County Public Schools","Dual Enrollment enrollment",98,19.33
"2019 - 2020",DIV,"Amelia County Public Schools","Governors School enrollment",23,4.54
"2019 - 2020",DIV,"Amherst County Public Schools","Advanced Placement Test Taken Preliminary Results",82,6.96
"2019 - 2020",DIV,"Amherst County Public Schools","Advanced Placement course enrollment",163,13.83
"2019 - 2020",DIV,"Amherst County Public Schools","Dual Enrollment enrollment",85,7.21
"2019 - 2020",DIV,"Amherst County Public Schools","Governors School enrollment",17,1.44
"2019 - 2020",DIV,"Appomattox County Public Schools","Advanced Placement Test Taken Preliminary Results",54,7.98
"2019 - 2020",DIV,"Appomattox County Public Schools","Advanced Placement course enrollment",55,8.12
"2019 - 2020",DIV,"Appomattox County Public Schools","Dual Enrollment enrollment",83,12.26
"2019 - 2020",DIV,"Appomattox County Public Schools","Governors School enrollment",8,1.18
"2019 - 2020",DIV,"Arlington County Public Schools","Advanced Placement Test Taken Preliminary Results",2825,36.82
"2019 - 2020",DIV,"Arlington County Public Schools","Advanced Placement course enrollment",2825,36.82
"2019 - 2020",DIV,"Arlington County Public Schools","Dual Enrollment enrollment",823,10.73
"2019 - 2020",DIV,"Arlington County Public Schools","IB Course enrollment",677,8.82
"2019 - 2020",DIV,"Arlington County Public Schools","IB Exam Taken",301,3.92
"2019 - 2020",DIV,"Arlington County Public Schools","Seniors enrolled in IB Program",93,1.21
"2019 - 2020",DIV,"Augusta County Public Schools","Advanced Placement Test Taken Preliminary Results",378,11.75
"2019 - 2020",DIV,"Augusta County Public Schools","Advanced Placement course enrollment",397,12.34
"2019 - 2020",DIV,"Augusta County Public Schools","Dual Enrollment enrollment",278,8.64
"2019 - 2020",DIV,"Augusta County Public Schools","Governors School enrollment",142,4.42
"2019 - 2020",DIV,"Bath County Public Schools","Dual Enrollment enrollment",14,9.15
"2019 - 2020",DIV,"Bedford County Public Schools","Advanced Placement Test Taken Preliminary Results",207,6.74
"2019 - 2020",DIV,"Bedford County Public Schools","Advanced Placement course enrollment",232,7.55
"2019 - 2020",DIV,"Bedford County Public Schools","Dual Enrollment enrollment",492,16.02
"2019 - 2020",DIV,"Bedford County Public Schools","Governors School enrollment",50,1.63
"2019 - 2020",DIV,"Bland County Public Schools","Dual Enrollment enrollment",48,20.87
"2019 - 2020",DIV,"Botetourt County Public Schools","Advanced Placement Test Taken Preliminary Results",64,4.06
"2019 - 2020",DIV,"Botetourt County Public Schools","Advanced Placement course enrollment",71,4.51
"2019 - 2020",DIV,"Botetourt County Public Schools","Dual Enrollment enrollment",245,15.56
"2019 - 2020",DIV,"Botetourt County Public Schools","Governors School enrollment",30,1.9
"2019 - 2020",DIV,"Bristol City Public Schools","Advanced Placement Test Taken Preliminary Results",21,3.28
"2019 - 2020",DIV,"Bristol City Public Schools","Advanced Placement course enrollment",21,3.28
"2019 - 2020",DIV,"Bristol City Public Schools","Dual Enrollment enrollment",123,19.19
"2019 - 2020",DIV,"Brunswick County Public Schools","Dual Enrollment enrollment",8,1.61
"2019 - 2020",DIV,"Buchanan County Public Schools","Advanced Placement Test Taken Preliminary Results",4,.48
"2019 - 2020",DIV,"Buchanan County Public Schools","Advanced Placement course enrollment",6,.71
"2019 - 2020",DIV,"Buchanan County Public Schools","Dual Enrollment enrollment",316,37.53
"2019 - 2020",DIV,"Buckingham County Public Schools","Dual Enrollment enrollment",172,30.02
"2019 - 2020",DIV,"Buckingham County Public Schools","Governors School enrollment",18,3.14
"2019 - 2020",DIV,"Buena Vista City Public Schools","Advanced Placement Test Taken Preliminary Results",22,7.38
"2019 - 2020",DIV,"Buena Vista City Public Schools","Advanced Placement course enrollment",22,7.38
"2019 - 2020",DIV,"Buena Vista City Public Schools","Dual Enrollment enrollment",61,20.47
"2019 - 2020",DIV,"Campbell County Public Schools","Advanced Placement Test Taken Preliminary Results",128,5.35
"2019 - 2020",DIV,"Campbell County Public Schools","Advanced Placement course enrollment",128,5.35
"2019 - 2020",DIV,"Campbell County Public Schools","Dual Enrollment enrollment",248,10.37
"2019 - 2020",DIV,"Campbell County Public Schools","Governors School enrollment",29,1.21
"2019 - 2020",DIV,"Caroline County Public Schools","Advanced Placement Test Taken Preliminary Results",48,4.13
"2019 - 2020",DIV,"Caroline County Public Schools","Advanced Placement course enrollment",78,6.72
"2019 - 2020",DIV,"Caroline County Public Schools","Dual Enrollment enrollment",116,9.99
"2019 - 2020",DIV,"Caroline County Public Schools","Governors School enrollment",41,3.53
"2019 - 2020",DIV,"Carroll County Public Schools","Advanced Placement Test Taken Preliminary Results",4,.36
"2019 - 2020",DIV,"Carroll County Public Schools","Advanced Placement course enrollment",4,.36
"2019 - 2020",DIV,"Carroll County Public Schools","Dual Enrollment enrollment",421,38.34
"2019 - 2020",DIV,"Carroll County Public Schools","Governors School enrollment",10,.91
"2019 - 2020",DIV,"Charles City County Public Schools","Advanced Placement Test Taken Preliminary Results",10,5.26
"2019 - 2020",DIV,"Charles City County Public Schools","Advanced Placement course enrollment",11,5.79
"2019 - 2020",DIV,"Charles City County Public Schools","Dual Enrollment enrollment",5,2.63
"2019 - 2020",DIV,"Charles City County Public Schools","Governors School enrollment",11,5.79
"2019 - 2020",DIV,"Charlotte County Public Schools","Dual Enrollment enrollment",107,19.67
"2019 - 2020",DIV,"Charlotte County Public Schools","Governors School enrollment",20,3.68
"2019 - 2020",DIV,"Charlottesville City Public Schools","Advanced Placement Test Taken Preliminary Results",98,8
"2019 - 2020",DIV,"Charlottesville City Public Schools","Advanced Placement course enrollment",101,8.24
"2019 - 2020",DIV,"Charlottesville City Public Schools","Dual Enrollment enrollment",156,12.73
"2019 - 2020",DIV,"Chesapeake City Public Schools","Advanced Placement Test Taken Preliminary Results",1237,9.34
"2019 - 2020",DIV,"Chesapeake City Public Schools","Advanced Placement course enrollment",2410,18.21
"2019 - 2020",DIV,"Chesapeake City Public Schools","Dual Enrollment enrollment",591,4.46
"2019 - 2020",DIV,"Chesapeake City Public Schools","Governors School enrollment",87,.66
"2019 - 2020",DIV,"Chesapeake City Public Schools","IB Course enrollment",218,1.65
"2019 - 2020",DIV,"Chesapeake City Public Schools","IB Exam Taken",67,.51
"2019 - 2020",DIV,"Chesapeake City Public Schools","Seniors enrolled in IB Program",49,.37
"2019 - 2020",DIV,"Chesterfield County Public Schools","Advanced Placement Test Taken Preliminary Results",3347,16.99
"2019 - 2020",DIV,"Chesterfield County Public Schools","Advanced Placement course enrollment",4980,25.28
"2019 - 2020",DIV,"Chesterfield County Public Schools","Dual Enrollment enrollment",2619,13.3
"2019 - 2020",DIV,"Chesterfield County Public Schools","Governors School enrollment",363,1.84
"2019 - 2020",DIV,"Chesterfield County Public Schools","IB Course enrollment",166,.84
"2019 - 2020",DIV,"Chesterfield County Public Schools","IB Exam Taken",61,.31
"2019 - 2020",DIV,"Clarke County Public Schools","Advanced Placement Test Taken Preliminary Results",42,6.33
"2019 - 2020",DIV,"Clarke County Public Schools","Advanced Placement course enrollment",140,21.08
"2019 - 2020",DIV,"Clarke County Public Schools","Dual Enrollment enrollment",161,24.25
"2019 - 2020",DIV,"Clarke County Public Schools","Governors School enrollment",8,1.2
"2019 - 2020",DIV,"Clarke County Public Schools","IB Course enrollment",315,47.44
"2019 - 2020",DIV,"Clarke County Public Schools","Seniors enrolled in IB Program",13,1.96
"2019 - 2020",DIV,"Colonial Beach Public Schools","Dual Enrollment enrollment",6,3.41
"2019 - 2020",DIV,"Colonial Beach Public Schools","Governors School enrollment",6,3.41
"2019 - 2020",DIV,"Colonial Heights City Public Schools","Advanced Placement Test Taken Preliminary Results",36,4.1
"2019 - 2020",DIV,"Colonial Heights City Public Schools","Advanced Placement course enrollment",54,6.16
"2019 - 2020",DIV,"Colonial Heights City Public Schools","Dual Enrollment enrollment",81,9.24
"2019 - 2020",DIV,"Colonial Heights City Public Schools","Governors School enrollment",11,1.25
"2019 - 2020",DIV,"Covington City Public Schools","Dual Enrollment enrollment",33,11.91
"2019 - 2020",DIV,"Craig County Public Schools","Advanced Placement course enrollment",25,13.66
"2019 - 2020",DIV,"Craig County Public Schools","Dual Enrollment enrollment",22,12.02
"2019 - 2020",DIV,"Craig County Public Schools","Governors School enrollment",2,1.09
"2019 - 2020",DIV,"Culpeper County Public Schools","Advanced Placement Test Taken Preliminary Results",59,2.29
"2019 - 2020",DIV,"Culpeper County Public Schools","Advanced Placement course enrollment",299,11.59
"2019 - 2020",DIV,"Culpeper County Public Schools","Dual Enrollment enrollment",287,11.12
"2019 - 2020",DIV,"Culpeper County Public Schools","Governors School enrollment",29,1.12
"2019 - 2020",DIV,"Cumberland County Public Schools","Dual Enrollment enrollment",138,34.07
"2019 - 2020",DIV,"Cumberland County Public Schools","Governors School enrollment",15,3.7
"2019 - 2020",DIV,"Danville City Public Schools","Advanced Placement Test Taken Preliminary Results",40,2.6
"2019 - 2020",DIV,"Danville City Public Schools","Advanced Placement course enrollment",62,4.04
"2019 - 2020",DIV,"Danville City Public Schools","Dual Enrollment enrollment",212,13.8
"2019 - 2020",DIV,"Danville City Public Schools","Governors School enrollment",23,1.5
"2019 - 2020",DIV,"Danville City Public Schools","IB Course enrollment",24,1.56
"2019 - 2020",DIV,"Danville City Public Schools","IB Exam Taken",8,.52
"2019 - 2020",DIV,"Danville City Public Schools","Seniors enrolled in IB Program",13,.85
"2019 - 2020",DIV,"Dickenson County Public Schools","Dual Enrollment enrollment",82,14.14
"2019 - 2020",DIV,"Dinwiddie County Public Schools","Advanced Placement Test Taken Preliminary Results",65,4.97
"2019 - 2020",DIV,"Dinwiddie County Public Schools","Advanced Placement course enrollment",129,9.85
"2019 - 2020",DIV,"Dinwiddie County Public Schools","Dual Enrollment enrollment",92,7.03
"2019 - 2020",DIV,"Dinwiddie County Public Schools","Governors School enrollment",15,1.15
