"On-time Graduation Rate"
3/17/2022

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2018,DIV,"Newport News City Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Newport News City Public Schools",Hispanic,201,182,90.5,185,92
2018,DIV,"Newport News City Public Schools",Homeless,28,26,92.9,26,92.9
2018,DIV,"Newport News City Public Schools",Male,898,825,91.9,846,94.2
2018,DIV,"Newport News City Public Schools","Military Connected",112,110,98.2,111,99.1
2018,DIV,"Newport News City Public Schools","Multiple Races",68,66,97.1,67,98.5
2018,DIV,"Newport News City Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Newport News City Public Schools","Students with Disabilities",226,213,94.2,213,94.2
2018,DIV,"Newport News City Public Schools",White,498,480,96.4,490,98.4
2018,DIV,"Norfolk City Public Schools","All Students",1935,1604,82.9,1661,85.8
2018,DIV,"Norfolk City Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Norfolk City Public Schools",Asian,66,64,97,64,97
2018,DIV,"Norfolk City Public Schools",Black,1125,895,79.6,930,82.7
2018,DIV,"Norfolk City Public Schools","Economically Disadvantaged",999,856,85.7,875,87.6
2018,DIV,"Norfolk City Public Schools","English Learners",74,52,70.3,53,71.6
2018,DIV,"Norfolk City Public Schools",Female,969,847,87.4,864,89.2
2018,DIV,"Norfolk City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Norfolk City Public Schools",Hispanic,169,133,78.7,139,82.2
2018,DIV,"Norfolk City Public Schools",Homeless,27,20,74.1,20,74.1
2018,DIV,"Norfolk City Public Schools",Male,966,757,78.4,797,82.5
2018,DIV,"Norfolk City Public Schools","Military Connected",247,233,94.3,236,95.5
2018,DIV,"Norfolk City Public Schools","Multiple Races",107,90,84.1,93,86.9
2018,DIV,"Norfolk City Public Schools","Native Hawaiian",<,<,<,<,<
2018,DIV,"Norfolk City Public Schools","Students with Disabilities",191,152,79.6,156,81.7
2018,DIV,"Norfolk City Public Schools",White,458,413,90.2,426,93
2018,DIV,"Northampton County Public Schools","All Students",120,108,90,109,90.8
2018,DIV,"Northampton County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Northampton County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Northampton County Public Schools",Black,61,53,86.9,54,88.5
2018,DIV,"Northampton County Public Schools","Economically Disadvantaged",89,79,88.8,80,89.9
2018,DIV,"Northampton County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Northampton County Public Schools",Female,63,55,87.3,56,88.9
2018,DIV,"Northampton County Public Schools",Hispanic,19,17,89.5,17,89.5
2018,DIV,"Northampton County Public Schools",Homeless,11,11,100,11,100
2018,DIV,"Northampton County Public Schools",Male,57,53,93,53,93
2018,DIV,"Northampton County Public Schools","Multiple Races",<,<,<,<,<
2018,DIV,"Northampton County Public Schools","Students with Disabilities",<,<,<,<,<
2018,DIV,"Northampton County Public Schools",White,36,35,97.2,35,97.2
2018,DIV,"Northumberland County Public Schools","All Students",114,110,96.5,112,98.2
2018,DIV,"Northumberland County Public Schools",Black,38,38,100,38,100
2018,DIV,"Northumberland County Public Schools","Economically Disadvantaged",48,45,93.8,46,95.8
2018,DIV,"Northumberland County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Northumberland County Public Schools",Female,59,56,94.9,58,98.3
2018,DIV,"Northumberland County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Northumberland County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Northumberland County Public Schools",Male,55,54,98.2,54,98.2
2018,DIV,"Northumberland County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Northumberland County Public Schools","Students with Disabilities",14,13,92.9,13,92.9
2018,DIV,"Northumberland County Public Schools",White,66,62,93.9,64,97
2018,DIV,"Norton City Public Schools","All Students",55,50,90.9,51,92.7
2018,DIV,"Norton City Public Schools",Black,<,<,100,<,100
2018,DIV,"Norton City Public Schools","Economically Disadvantaged",33,30,90.9,30,90.9
2018,DIV,"Norton City Public Schools",Female,27,25,92.6,25,92.6
2018,DIV,"Norton City Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Norton City Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Norton City Public Schools",Male,28,25,89.3,26,92.9
2018,DIV,"Norton City Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Norton City Public Schools","Students with Disabilities",<,<,<,<,<
2018,DIV,"Norton City Public Schools",White,47,42,89.4,43,91.5
2018,DIV,"Nottoway County Public Schools","All Students",147,126,85.7,126,85.7
2018,DIV,"Nottoway County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Nottoway County Public Schools",Black,52,42,80.8,42,80.8
2018,DIV,"Nottoway County Public Schools","Economically Disadvantaged",77,61,79.2,61,79.2
2018,DIV,"Nottoway County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Nottoway County Public Schools",Female,79,75,94.9,75,94.9
2018,DIV,"Nottoway County Public Schools",Hispanic,12,11,91.7,11,91.7
2018,DIV,"Nottoway County Public Schools",Male,68,51,75,51,75
2018,DIV,"Nottoway County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Nottoway County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Nottoway County Public Schools","Students with Disabilities",22,19,86.4,19,86.4
2018,DIV,"Nottoway County Public Schools",White,73,63,86.3,63,86.3
2018,DIV,"Orange County Public Schools","All Students",372,349,93.8,352,94.6
2018,DIV,"Orange County Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Orange County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Orange County Public Schools",Black,58,56,96.6,56,96.6
2018,DIV,"Orange County Public Schools","Economically Disadvantaged",127,116,91.3,117,92.1
2018,DIV,"Orange County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Orange County Public Schools",Female,189,181,95.8,181,95.8
2018,DIV,"Orange County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Orange County Public Schools",Hispanic,25,23,92,23,92
2018,DIV,"Orange County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Orange County Public Schools",Male,183,168,91.8,171,93.4
2018,DIV,"Orange County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Orange County Public Schools","Multiple Races",36,34,94.4,35,97.2
2018,DIV,"Orange County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Orange County Public Schools","Students with Disabilities",42,32,76.2,34,81
2018,DIV,"Orange County Public Schools",White,248,232,93.5,234,94.4
2018,DIV,"Page County Public Schools","All Students",282,273,96.8,277,98.2
2018,DIV,"Page County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Page County Public Schools",Black,<,<,100,<,100
2018,DIV,"Page County Public Schools","Economically Disadvantaged",131,125,95.4,128,97.7
2018,DIV,"Page County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Page County Public Schools",Female,147,146,99.3,146,99.3
2018,DIV,"Page County Public Schools",Hispanic,10,9,90,9,90
2018,DIV,"Page County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Page County Public Schools",Male,135,127,94.1,131,97
2018,DIV,"Page County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Page County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Page County Public Schools","Students with Disabilities",10,10,100,10,100
2018,DIV,"Page County Public Schools",White,260,252,96.9,256,98.5
2018,DIV,"Patrick County Public Schools","All Students",182,174,95.6,175,96.2
2018,DIV,"Patrick County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Patrick County Public Schools",Black,<,<,<,<,<
2018,DIV,"Patrick County Public Schools","Economically Disadvantaged",84,78,92.9,78,92.9
2018,DIV,"Patrick County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Patrick County Public Schools",Female,97,94,96.9,94,96.9
2018,DIV,"Patrick County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Patrick County Public Schools",Hispanic,12,12,100,12,100
2018,DIV,"Patrick County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Patrick County Public Schools",Male,85,80,94.1,81,95.3
2018,DIV,"Patrick County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Patrick County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Patrick County Public Schools","Students with Disabilities",30,29,96.7,29,96.7
2018,DIV,"Patrick County Public Schools",White,152,146,96.1,147,96.7
2018,DIV,"Petersburg City Public Schools","All Students",288,241,83.7,245,85.1
2018,DIV,"Petersburg City Public Schools",Asian,<,<,100,<,100
2018,DIV,"Petersburg City Public Schools",Black,271,230,84.9,233,86
2018,DIV,"Petersburg City Public Schools","Economically Disadvantaged",204,173,84.8,175,85.8
2018,DIV,"Petersburg City Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Petersburg City Public Schools",Female,125,109,87.2,109,87.2
2018,DIV,"Petersburg City Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Petersburg City Public Schools",Homeless,14,12,85.7,12,85.7
2018,DIV,"Petersburg City Public Schools",Male,163,132,81,136,83.4
2018,DIV,"Petersburg City Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Petersburg City Public Schools","Students with Disabilities",49,46,93.9,46,93.9
2018,DIV,"Petersburg City Public Schools",White,<,<,<,<,<
2018,DIV,"Pittsylvania County Public Schools","All Students",735,668,90.9,671,91.3
2018,DIV,"Pittsylvania County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Pittsylvania County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Pittsylvania County Public Schools",Black,156,141,90.4,141,90.4
2018,DIV,"Pittsylvania County Public Schools","Economically Disadvantaged",386,329,85.2,332,86
2018,DIV,"Pittsylvania County Public Schools","English Learners",10,10,100,10,100
2018,DIV,"Pittsylvania County Public Schools",Female,348,328,94.3,329,94.5
2018,DIV,"Pittsylvania County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Pittsylvania County Public Schools",Hispanic,27,25,92.6,25,92.6
2018,DIV,"Pittsylvania County Public Schools",Male,387,340,87.9,342,88.4
2018,DIV,"Pittsylvania County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Pittsylvania County Public Schools","Multiple Races",15,13,86.7,13,86.7
2018,DIV,"Pittsylvania County Public Schools","Students with Disabilities",92,71,77.2,71,77.2
2018,DIV,"Pittsylvania County Public Schools",White,533,485,91,488,91.6
2018,DIV,"Poquoson City Public Schools","All Students",180,166,92.2,171,95
2018,DIV,"Poquoson City Public Schools",Asian,<,<,100,<,100
2018,DIV,"Poquoson City Public Schools",Black,<,<,100,<,100
2018,DIV,"Poquoson City Public Schools","Economically Disadvantaged",22,19,86.4,19,86.4
2018,DIV,"Poquoson City Public Schools",Female,86,79,91.9,81,94.2
2018,DIV,"Poquoson City Public Schools",Hispanic,10,10,100,10,100
2018,DIV,"Poquoson City Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Poquoson City Public Schools",Male,94,87,92.6,90,95.7
2018,DIV,"Poquoson City Public Schools","Military Connected",24,23,95.8,24,100
2018,DIV,"Poquoson City Public Schools","Multiple Races",<,<,<,<,<
2018,DIV,"Poquoson City Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Poquoson City Public Schools","Students with Disabilities",15,12,80,13,86.7
2018,DIV,"Poquoson City Public Schools",White,153,142,92.8,146,95.4
2018,DIV,"Portsmouth City Public Schools","All Students",1020,866,84.9,889,87.2
2018,DIV,"Portsmouth City Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Portsmouth City Public Schools",Asian,<,<,100,<,100
2018,DIV,"Portsmouth City Public Schools",Black,732,622,85,637,87
2018,DIV,"Portsmouth City Public Schools","Economically Disadvantaged",542,469,86.5,479,88.4
2018,DIV,"Portsmouth City Public Schools","English Learners",10,8,80,8,80
2018,DIV,"Portsmouth City Public Schools",Female,536,477,89,483,90.1
2018,DIV,"Portsmouth City Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Portsmouth City Public Schools",Hispanic,35,32,91.4,32,91.4
2018,DIV,"Portsmouth City Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Portsmouth City Public Schools",Male,484,389,80.4,406,83.9
2018,DIV,"Portsmouth City Public Schools","Military Connected",10,8,80,8,80
2018,DIV,"Portsmouth City Public Schools","Multiple Races",30,29,96.7,29,96.7
2018,DIV,"Portsmouth City Public Schools","Native Hawaiian",<,<,<,<,<
2018,DIV,"Portsmouth City Public Schools","Students with Disabilities",119,105,88.2,108,90.8
2018,DIV,"Portsmouth City Public Schools",White,211,172,81.5,180,85.3
2018,DIV,"Powhatan County Public Schools","All Students",377,352,93.4,366,97.1
2018,DIV,"Powhatan County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Powhatan County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Powhatan County Public Schools",Black,19,16,84.2,17,89.5
2018,DIV,"Powhatan County Public Schools","Economically Disadvantaged",89,80,89.9,84,94.4
2018,DIV,"Powhatan County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Powhatan County Public Schools",Female,175,165,94.3,173,98.9
2018,DIV,"Powhatan County Public Schools",Hispanic,12,12,100,12,100
2018,DIV,"Powhatan County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Powhatan County Public Schools",Male,202,187,92.6,193,95.5
2018,DIV,"Powhatan County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Powhatan County Public Schools","Multiple Races",15,14,93.3,14,93.3
2018,DIV,"Powhatan County Public Schools","Students with Disabilities",43,35,81.4,39,90.7
2018,DIV,"Powhatan County Public Schools",White,325,304,93.5,317,97.5
2018,DIV,"Prince Edward County Public Schools","All Students",173,148,85.5,154,89
2018,DIV,"Prince Edward County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Prince Edward County Public Schools",Black,98,87,88.8,90,91.8
2018,DIV,"Prince Edward County Public Schools","Economically Disadvantaged",99,95,96,97,98
2018,DIV,"Prince Edward County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Prince Edward County Public Schools",Female,88,79,89.8,80,90.9
2018,DIV,"Prince Edward County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Prince Edward County Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Prince Edward County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Prince Edward County Public Schools",Male,85,69,81.2,74,87.1
2018,DIV,"Prince Edward County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Prince Edward County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Prince Edward County Public Schools","Students with Disabilities",23,18,78.3,20,87
2018,DIV,"Prince Edward County Public Schools",White,66,54,81.8,57,86.4
2018,DIV,"Prince George County Public Schools","All Students",436,402,92.2,407,93.3
2018,DIV,"Prince George County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Prince George County Public Schools",Asian,<,<,<,<,<
2018,DIV,"Prince George County Public Schools",Black,148,136,91.9,136,91.9
2018,DIV,"Prince George County Public Schools","Economically Disadvantaged",160,138,86.3,142,88.8
2018,DIV,"Prince George County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Prince George County Public Schools",Female,219,207,94.5,210,95.9
2018,DIV,"Prince George County Public Schools",Hispanic,53,49,92.5,49,92.5
2018,DIV,"Prince George County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Prince George County Public Schools",Male,217,195,89.9,197,90.8
2018,DIV,"Prince George County Public Schools","Military Connected",110,103,93.6,103,93.6
2018,DIV,"Prince George County Public Schools","Multiple Races",14,13,92.9,13,92.9
2018,DIV,"Prince George County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Prince George County Public Schools","Students with Disabilities",57,51,89.5,51,89.5
2018,DIV,"Prince George County Public Schools",White,213,197,92.5,202,94.8
2018,DIV,"Prince William County Public Schools","All Students",6883,6360,92.4,6389,92.8
2018,DIV,"Prince William County Public Schools","American Indian",25,23,92,23,92
2018,DIV,"Prince William County Public Schools",Asian,614,595,96.9,596,97.1
2018,DIV,"Prince William County Public Schools",Black,1467,1391,94.8,1394,95
2018,DIV,"Prince William County Public Schools","Economically Disadvantaged",2585,2259,87.4,2275,88
2018,DIV,"Prince William County Public Schools","English Learners",1036,850,82,852,82.2
2018,DIV,"Prince William County Public Schools",Female,3384,3199,94.5,3213,94.9
2018,DIV,"Prince William County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Prince William County Public Schools",Hispanic,2207,1858,84.2,1872,84.8
2018,DIV,"Prince William County Public Schools",Homeless,32,25,78.1,25,78.1
2018,DIV,"Prince William County Public Schools",Male,3499,3161,90.3,3176,90.8
2018,DIV,"Prince William County Public Schools","Military Connected",214,213,99.5,214,100
2018,DIV,"Prince William County Public Schools","Multiple Races",378,361,95.5,364,96.3
2018,DIV,"Prince William County Public Schools","Native Hawaiian",13,13,100,13,100
2018,DIV,"Prince William County Public Schools","Students with Disabilities",742,673,90.7,677,91.2
2018,DIV,"Prince William County Public Schools",White,2179,2119,97.2,2127,97.6
2018,DIV,"Pulaski County Public Schools","All Students",344,315,91.6,328,95.3
2018,DIV,"Pulaski County Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Pulaski County Public Schools",Black,22,22,100,22,100
2018,DIV,"Pulaski County Public Schools","Economically Disadvantaged",160,139,86.9,147,91.9
2018,DIV,"Pulaski County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Pulaski County Public Schools",Female,166,158,95.2,161,97
2018,DIV,"Pulaski County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Pulaski County Public Schools",Hispanic,10,8,80,9,90
2018,DIV,"Pulaski County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Pulaski County Public Schools",Male,178,157,88.2,167,93.8
2018,DIV,"Pulaski County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Pulaski County Public Schools","Multiple Races",17,16,94.1,16,94.1
2018,DIV,"Pulaski County Public Schools","Students with Disabilities",53,44,83,46,86.8
2018,DIV,"Pulaski County Public Schools",White,291,266,91.4,278,95.5
2018,DIV,"Radford City Public Schools","All Students",132,127,96.2,128,97
2018,DIV,"Radford City Public Schools",Black,14,14,100,14,100
2018,DIV,"Radford City Public Schools","Economically Disadvantaged",48,44,91.7,45,93.8
2018,DIV,"Radford City Public Schools",Female,62,60,96.8,61,98.4
2018,DIV,"Radford City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Radford City Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Radford City Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Radford City Public Schools",Male,70,67,95.7,67,95.7
2018,DIV,"Radford City Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Radford City Public Schools","Multiple Races",10,10,100,10,100
2018,DIV,"Radford City Public Schools","Students with Disabilities",18,18,100,18,100
2018,DIV,"Radford City Public Schools",White,105,100,95.2,101,96.2
2018,DIV,"Rappahannock County Public Schools","All Students",77,73,94.8,75,97.4
2018,DIV,"Rappahannock County Public Schools","Economically Disadvantaged",19,17,89.5,19,100
2018,DIV,"Rappahannock County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Rappahannock County Public Schools",Female,37,36,97.3,36,97.3
2018,DIV,"Rappahannock County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Rappahannock County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Rappahannock County Public Schools",Male,40,37,92.5,39,97.5
2018,DIV,"Rappahannock County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Rappahannock County Public Schools","Students with Disabilities",16,14,87.5,15,93.8
2018,DIV,"Rappahannock County Public Schools",White,73,69,94.5,71,97.3
2018,DIV,"Richmond City Public Schools","All Students",1517,1074,70.8,1090,71.9
2018,DIV,"Richmond City Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Richmond City Public Schools",Asian,11,11,100,11,100
2018,DIV,"Richmond City Public Schools",Black,1084,837,77.2,846,78
2018,DIV,"Richmond City Public Schools","Economically Disadvantaged",908,673,74.1,684,75.3
2018,DIV,"Richmond City Public Schools","English Learners",84,43,51.2,43,51.2
2018,DIV,"Richmond City Public Schools",Female,767,584,76.1,591,77.1
2018,DIV,"Richmond City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Richmond City Public Schools",Hispanic,278,112,40.3,115,41.4
2018,DIV,"Richmond City Public Schools",Homeless,55,44,80,44,80
2018,DIV,"Richmond City Public Schools",Male,750,490,65.3,499,66.5
2018,DIV,"Richmond City Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Richmond City Public Schools","Native Hawaiian",<,<,<,<,<
2018,DIV,"Richmond City Public Schools","Students with Disabilities",324,218,67.3,220,67.9
2018,DIV,"Richmond City Public Schools",White,133,105,78.9,109,82
2018,DIV,"Richmond County Public Schools","All Students",97,94,96.9,95,97.9
2018,DIV,"Richmond County Public Schools",Black,23,22,95.7,22,95.7
2018,DIV,"Richmond County Public Schools","Economically Disadvantaged",43,42,97.7,42,97.7
2018,DIV,"Richmond County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Richmond County Public Schools",Female,59,57,96.6,57,96.6
2018,DIV,"Richmond County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Richmond County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Richmond County Public Schools",Male,38,37,97.4,38,100
2018,DIV,"Richmond County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Richmond County Public Schools","Students with Disabilities",12,12,100,12,100
2018,DIV,"Richmond County Public Schools",White,64,62,96.9,63,98.4
2018,DIV,"Roanoke City Public Schools","All Students",916,824,90,837,91.4
2018,DIV,"Roanoke City Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Roanoke City Public Schools",Asian,24,23,95.8,24,100
2018,DIV,"Roanoke City Public Schools",Black,423,378,89.4,383,90.5
2018,DIV,"Roanoke City Public Schools","Economically Disadvantaged",454,401,88.3,403,88.8
2018,DIV,"Roanoke City Public Schools","English Learners",68,57,83.8,59,86.8
2018,DIV,"Roanoke City Public Schools",Female,430,399,92.8,405,94.2
2018,DIV,"Roanoke City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Roanoke City Public Schools",Hispanic,93,81,87.1,83,89.2
2018,DIV,"Roanoke City Public Schools",Homeless,39,35,89.7,35,89.7
2018,DIV,"Roanoke City Public Schools",Male,486,425,87.4,432,88.9
2018,DIV,"Roanoke City Public Schools","Multiple Races",36,31,86.1,32,88.9
2018,DIV,"Roanoke City Public Schools","Students with Disabilities",146,133,91.1,133,91.1
2018,DIV,"Roanoke City Public Schools",White,339,310,91.4,314,92.6
2018,DIV,"Roanoke County Public Schools","All Students",1108,1051,94.9,1056,95.3
2018,DIV,"Roanoke County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Roanoke County Public Schools",Asian,51,49,96.1,49,96.1
2018,DIV,"Roanoke County Public Schools",Black,77,69,89.6,69,89.6
2018,DIV,"Roanoke County Public Schools","Economically Disadvantaged",322,303,94.1,303,94.1
2018,DIV,"Roanoke County Public Schools","English Learners",19,17,89.5,17,89.5
2018,DIV,"Roanoke County Public Schools",Female,526,501,95.2,502,95.4
2018,DIV,"Roanoke County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Roanoke County Public Schools",Hispanic,54,49,90.7,49,90.7
2018,DIV,"Roanoke County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Roanoke County Public Schools",Male,582,550,94.5,554,95.2
2018,DIV,"Roanoke County Public Schools","Military Connected",14,14,100,14,100
2018,DIV,"Roanoke County Public Schools","Multiple Races",62,59,95.2,59,95.2
2018,DIV,"Roanoke County Public Schools","Students with Disabilities",142,130,91.5,132,93
2018,DIV,"Roanoke County Public Schools",White,863,824,95.5,829,96.1
2018,DIV,"Rockbridge County Public Schools","All Students",257,233,90.7,236,91.8
2018,DIV,"Rockbridge County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Rockbridge County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Rockbridge County Public Schools",Black,12,11,91.7,11,91.7
2018,DIV,"Rockbridge County Public Schools","Economically Disadvantaged",103,87,84.5,90,87.4
2018,DIV,"Rockbridge County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Rockbridge County Public Schools",Female,132,123,93.2,124,93.9
2018,DIV,"Rockbridge County Public Schools",Hispanic,13,12,92.3,12,92.3
2018,DIV,"Rockbridge County Public Schools",Male,125,110,88,112,89.6
2018,DIV,"Rockbridge County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Rockbridge County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Rockbridge County Public Schools","Students with Disabilities",25,20,80,20,80
2018,DIV,"Rockbridge County Public Schools",White,221,199,90,202,91.4
2018,DIV,"Rockingham County Public Schools","All Students",922,869,94.3,873,94.7
2018,DIV,"Rockingham County Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Rockingham County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Rockingham County Public Schools",Black,23,20,87,20,87
2018,DIV,"Rockingham County Public Schools","Economically Disadvantaged",329,299,90.9,301,91.5
2018,DIV,"Rockingham County Public Schools","English Learners",51,41,80.4,42,82.4
2018,DIV,"Rockingham County Public Schools",Female,447,433,96.9,434,97.1
2018,DIV,"Rockingham County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Rockingham County Public Schools",Hispanic,126,112,88.9,114,90.5
2018,DIV,"Rockingham County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Rockingham County Public Schools",Male,475,436,91.8,439,92.4
2018,DIV,"Rockingham County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Rockingham County Public Schools","Multiple Races",34,34,100,34,100
2018,DIV,"Rockingham County Public Schools","Students with Disabilities",73,67,91.8,67,91.8
2018,DIV,"Rockingham County Public Schools",White,730,695,95.2,697,95.5
2018,DIV,"Russell County Public Schools","All Students",290,268,92.4,269,92.8
2018,DIV,"Russell County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Russell County Public Schools",Black,<,<,100,<,100
2018,DIV,"Russell County Public Schools","Economically Disadvantaged",128,116,90.6,116,90.6
2018,DIV,"Russell County Public Schools",Female,141,132,93.6,132,93.6
2018,DIV,"Russell County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Russell County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Russell County Public Schools",Male,149,136,91.3,137,91.9
2018,DIV,"Russell County Public Schools","Students with Disabilities",46,38,82.6,38,82.6
2018,DIV,"Russell County Public Schools",White,281,259,92.2,260,92.5
2018,DIV,"Salem City Public Schools","All Students",338,322,95.3,329,97.3
2018,DIV,"Salem City Public Schools",Asian,<,<,<,<,<
2018,DIV,"Salem City Public Schools",Black,33,30,90.9,31,93.9
2018,DIV,"Salem City Public Schools","Economically Disadvantaged",87,75,86.2,80,92
2018,DIV,"Salem City Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Salem City Public Schools",Female,173,169,97.7,169,97.7
2018,DIV,"Salem City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Salem City Public Schools",Hispanic,13,11,84.6,12,92.3
2018,DIV,"Salem City Public Schools",Male,165,153,92.7,160,97
2018,DIV,"Salem City Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Salem City Public Schools","Multiple Races",26,23,88.5,24,92.3
2018,DIV,"Salem City Public Schools","Students with Disabilities",37,37,100,37,100
2018,DIV,"Salem City Public Schools",White,258,251,97.3,254,98.4
2018,DIV,"Scott County Public Schools","All Students",282,265,94,270,95.7
2018,DIV,"Scott County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Scott County Public Schools",Black,<,<,100,<,100
2018,DIV,"Scott County Public Schools","Economically Disadvantaged",155,141,91,145,93.5
2018,DIV,"Scott County Public Schools","English Learners",<,<,100,<,100
