"Chronic Absenteeism"
3/17/2022

Year,Level,Division,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2018 - 2019",DIV,"Greensville County Public Schools","English Learners",44,13,77.2,22.8
"2018 - 2019",DIV,"Greensville County Public Schools",Female,816,207,79.8,20.2
"2018 - 2019",DIV,"Greensville County Public Schools",Hispanic,68,23,74.7,25.3
"2018 - 2019",DIV,"Greensville County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Greensville County Public Schools",Male,847,254,76.9,23.1
"2018 - 2019",DIV,"Greensville County Public Schools","Multiple Races",34,9,79.1,20.9
"2018 - 2019",DIV,"Greensville County Public Schools","Students with Disabilities",218,85,71.9,28.1
"2018 - 2019",DIV,"Greensville County Public Schools",White,336,84,80,20
"2018 - 2019",DIV,"Halifax County Public Schools","All Students",4021,591,87.2,12.8
"2018 - 2019",DIV,"Halifax County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Halifax County Public Schools",Asian,36,0,100,0
"2018 - 2019",DIV,"Halifax County Public Schools",Black,1702,247,87.3,12.7
"2018 - 2019",DIV,"Halifax County Public Schools","Economically Disadvantaged",4021,591,87.2,12.8
"2018 - 2019",DIV,"Halifax County Public Schools","English Learners",56,6,90.3,9.7
"2018 - 2019",DIV,"Halifax County Public Schools",Female,2015,260,88.6,11.4
"2018 - 2019",DIV,"Halifax County Public Schools",Hispanic,123,28,81.5,18.5
"2018 - 2019",DIV,"Halifax County Public Schools",Homeless,18,11,,
"2018 - 2019",DIV,"Halifax County Public Schools",Male,2006,331,85.8,14.2
"2018 - 2019",DIV,"Halifax County Public Schools","Multiple Races",117,37,76,24
"2018 - 2019",DIV,"Halifax County Public Schools","Students with Disabilities",684,138,83.2,16.8
"2018 - 2019",DIV,"Halifax County Public Schools",White,2041,279,88,12
"2018 - 2019",DIV,"Hampton City Public Schools","All Students",16354,2475,86.9,13.1
"2018 - 2019",DIV,"Hampton City Public Schools","American Indian",47,10,,
"2018 - 2019",DIV,"Hampton City Public Schools",Asian,323,7,97.9,2.1
"2018 - 2019",DIV,"Hampton City Public Schools",Black,9710,1538,86.3,13.7
"2018 - 2019",DIV,"Hampton City Public Schools","Economically Disadvantaged",8516,1782,82.7,17.3
"2018 - 2019",DIV,"Hampton City Public Schools","English Learners",477,42,91.9,8.1
"2018 - 2019",DIV,"Hampton City Public Schools",Female,8037,1149,87.5,12.5
"2018 - 2019",DIV,"Hampton City Public Schools",Hispanic,1080,174,86.1,13.9
"2018 - 2019",DIV,"Hampton City Public Schools",Homeless,181,149,,
"2018 - 2019",DIV,"Hampton City Public Schools",Male,8317,1326,86.2,13.8
"2018 - 2019",DIV,"Hampton City Public Schools","Multiple Races",1303,205,86.4,13.6
"2018 - 2019",DIV,"Hampton City Public Schools","Native Hawaiian",33,3,,
"2018 - 2019",DIV,"Hampton City Public Schools","Students with Disabilities",2146,519,80.5,19.5
"2018 - 2019",DIV,"Hampton City Public Schools",White,3858,538,87.8,12.2
"2018 - 2019",DIV,"Hanover County Public Schools","All Students",16542,804,95.4,4.6
"2018 - 2019",DIV,"Hanover County Public Schools","American Indian",42,6,,
"2018 - 2019",DIV,"Hanover County Public Schools",Asian,345,12,96.6,3.4
"2018 - 2019",DIV,"Hanover County Public Schools",Black,1496,85,94.6,5.4
"2018 - 2019",DIV,"Hanover County Public Schools","Economically Disadvantaged",3087,380,89,11
"2018 - 2019",DIV,"Hanover County Public Schools","English Learners",406,30,93.1,6.9
"2018 - 2019",DIV,"Hanover County Public Schools",Female,7886,365,95.6,4.4
"2018 - 2019",DIV,"Hanover County Public Schools",Hispanic,860,70,92.5,7.5
"2018 - 2019",DIV,"Hanover County Public Schools",Homeless,27,18,,
"2018 - 2019",DIV,"Hanover County Public Schools",Male,8656,439,95.2,4.8
"2018 - 2019",DIV,"Hanover County Public Schools","Multiple Races",728,45,94.2,5.8
"2018 - 2019",DIV,"Hanover County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Hanover County Public Schools","Students with Disabilities",2170,233,90.3,9.7
"2018 - 2019",DIV,"Hanover County Public Schools",White,13066,586,95.7,4.3
"2018 - 2019",DIV,"Harrisonburg City Public Schools","All Students",5343,770,87.4,12.6
"2018 - 2019",DIV,"Harrisonburg City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Harrisonburg City Public Schools",Asian,157,16,90.8,9.2
"2018 - 2019",DIV,"Harrisonburg City Public Schools",Black,522,78,87,13
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Economically Disadvantaged",3689,642,85.2,14.8
"2018 - 2019",DIV,"Harrisonburg City Public Schools","English Learners",2410,389,86.1,13.9
"2018 - 2019",DIV,"Harrisonburg City Public Schools",Female,2609,348,88.2,11.8
"2018 - 2019",DIV,"Harrisonburg City Public Schools",Hispanic,2486,400,86.1,13.9
"2018 - 2019",DIV,"Harrisonburg City Public Schools",Homeless,52,20,,
"2018 - 2019",DIV,"Harrisonburg City Public Schools",Male,2734,422,86.6,13.4
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Multiple Races",217,36,85.8,14.2
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Students with Disabilities",504,132,79.2,20.8
"2018 - 2019",DIV,"Harrisonburg City Public Schools",White,1955,240,89.1,10.9
"2018 - 2019",DIV,"Henrico County Public Schools","All Students",45404,5103,89.9,10.1
"2018 - 2019",DIV,"Henrico County Public Schools","American Indian",95,14,,
"2018 - 2019",DIV,"Henrico County Public Schools",Asian,5524,220,96.2,3.8
"2018 - 2019",DIV,"Henrico County Public Schools",Black,15343,2570,85.7,14.3
"2018 - 2019",DIV,"Henrico County Public Schools","Economically Disadvantaged",17472,3351,83.9,16.1
"2018 - 2019",DIV,"Henrico County Public Schools","English Learners",4880,484,91,9
"2018 - 2019",DIV,"Henrico County Public Schools",Female,22203,2442,90.1,9.9
"2018 - 2019",DIV,"Henrico County Public Schools",Hispanic,4524,638,87.6,12.4
"2018 - 2019",DIV,"Henrico County Public Schools",Homeless,562,357,,
"2018 - 2019",DIV,"Henrico County Public Schools",Male,23201,2661,89.7,10.3
"2018 - 2019",DIV,"Henrico County Public Schools","Multiple Races",2124,257,89.2,10.8
"2018 - 2019",DIV,"Henrico County Public Schools","Native Hawaiian",38,4,,
"2018 - 2019",DIV,"Henrico County Public Schools","Students with Disabilities",5610,1136,83.2,16.8
"2018 - 2019",DIV,"Henrico County Public Schools",White,17756,1400,92.7,7.3
"2018 - 2019",DIV,"Henry County Public Schools","All Students",6266,816,88.5,11.5
"2018 - 2019",DIV,"Henry County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Henry County Public Schools",Asian,25,2,92.6,7.4
"2018 - 2019",DIV,"Henry County Public Schools",Black,1370,160,89.5,10.5
"2018 - 2019",DIV,"Henry County Public Schools","Economically Disadvantaged",3383,622,84.5,15.5
"2018 - 2019",DIV,"Henry County Public Schools","English Learners",639,40,94.1,5.9
"2018 - 2019",DIV,"Henry County Public Schools",Female,2978,363,89.1,10.9
"2018 - 2019",DIV,"Henry County Public Schools",Hispanic,925,81,91.9,8.1
"2018 - 2019",DIV,"Henry County Public Schools",Homeless,20,7,,
"2018 - 2019",DIV,"Henry County Public Schools",Male,3288,453,87.9,12.1
"2018 - 2019",DIV,"Henry County Public Schools","Multiple Races",417,88,82.6,17.4
"2018 - 2019",DIV,"Henry County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Henry County Public Schools","Students with Disabilities",915,194,82.5,17.5
"2018 - 2019",DIV,"Henry County Public Schools",White,3524,483,87.9,12.1
"2018 - 2019",DIV,"Highland County Public Schools","All Students",141,44,76.2,23.8
"2018 - 2019",DIV,"Highland County Public Schools","Economically Disadvantaged",75,37,67,33
"2018 - 2019",DIV,"Highland County Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Highland County Public Schools",Female,71,28,71.7,28.3
"2018 - 2019",DIV,"Highland County Public Schools",Hispanic,<,<,66.7,33.3
"2018 - 2019",DIV,"Highland County Public Schools",Male,70,16,81.4,18.6
"2018 - 2019",DIV,"Highland County Public Schools","Multiple Races",<,<,66.7,33.3
"2018 - 2019",DIV,"Highland County Public Schools","Students with Disabilities",25,8,75.8,24.2
"2018 - 2019",DIV,"Highland County Public Schools",White,137,42,76.5,23.5
"2018 - 2019",DIV,"Hopewell City Public Schools","All Students",3363,663,83.5,16.5
"2018 - 2019",DIV,"Hopewell City Public Schools","American Indian",24,5,,
"2018 - 2019",DIV,"Hopewell City Public Schools",Asian,46,4,92,8
"2018 - 2019",DIV,"Hopewell City Public Schools",Black,2044,393,83.9,16.1
"2018 - 2019",DIV,"Hopewell City Public Schools","Economically Disadvantaged",1695,409,80.6,19.4
"2018 - 2019",DIV,"Hopewell City Public Schools","English Learners",198,25,88.8,11.2
"2018 - 2019",DIV,"Hopewell City Public Schools",Female,1673,291,85.2,14.8
"2018 - 2019",DIV,"Hopewell City Public Schools",Hispanic,372,60,86.1,13.9
"2018 - 2019",DIV,"Hopewell City Public Schools",Homeless,16,20,,
"2018 - 2019",DIV,"Hopewell City Public Schools",Male,1690,372,82,18
"2018 - 2019",DIV,"Hopewell City Public Schools","Multiple Races",14,4,77.8,22.2
"2018 - 2019",DIV,"Hopewell City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Hopewell City Public Schools","Students with Disabilities",522,137,79.2,20.8
"2018 - 2019",DIV,"Hopewell City Public Schools",White,861,197,81.4,18.6
"2018 - 2019",DIV,"Isle of Wight County Public Schools","All Students",4833,546,89.8,10.2
"2018 - 2019",DIV,"Isle of Wight County Public Schools","American Indian",15,8,,
"2018 - 2019",DIV,"Isle of Wight County Public Schools",Asian,67,1,98.5,1.5
"2018 - 2019",DIV,"Isle of Wight County Public Schools",Black,1282,142,90,10
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Economically Disadvantaged",1570,300,84,16
"2018 - 2019",DIV,"Isle of Wight County Public Schools","English Learners",73,3,96.1,3.9
"2018 - 2019",DIV,"Isle of Wight County Public Schools",Female,2343,264,89.9,10.1
"2018 - 2019",DIV,"Isle of Wight County Public Schools",Hispanic,226,19,92.2,7.8
"2018 - 2019",DIV,"Isle of Wight County Public Schools",Homeless,11,9,,
"2018 - 2019",DIV,"Isle of Wight County Public Schools",Male,2490,282,89.8,10.2
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Multiple Races",252,28,90,10
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Native Hawaiian",10,1,,
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Students with Disabilities",560,105,84.2,15.8
"2018 - 2019",DIV,"Isle of Wight County Public Schools",White,2981,347,89.6,10.4
"2018 - 2019",DIV,"King George County Public Schools","All Students",3714,577,86.6,13.4
"2018 - 2019",DIV,"King George County Public Schools","American Indian",19,2,,
"2018 - 2019",DIV,"King George County Public Schools",Asian,46,4,92,8
"2018 - 2019",DIV,"King George County Public Schools",Black,610,93,86.8,13.2
"2018 - 2019",DIV,"King George County Public Schools","Economically Disadvantaged",1091,316,77.5,22.5
"2018 - 2019",DIV,"King George County Public Schools","English Learners",46,11,80.7,19.3
"2018 - 2019",DIV,"King George County Public Schools",Female,1808,273,86.9,13.1
"2018 - 2019",DIV,"King George County Public Schools",Hispanic,251,46,84.5,15.5
"2018 - 2019",DIV,"King George County Public Schools",Homeless,28,20,,
"2018 - 2019",DIV,"King George County Public Schools",Male,1906,304,86.2,13.8
"2018 - 2019",DIV,"King George County Public Schools","Multiple Races",339,46,88.1,11.9
"2018 - 2019",DIV,"King George County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"King George County Public Schools","Students with Disabilities",432,105,80.4,19.6
"2018 - 2019",DIV,"King George County Public Schools",White,2443,386,86.4,13.6
"2018 - 2019",DIV,"King William County Public Schools","All Students",1834,346,84.1,15.9
"2018 - 2019",DIV,"King William County Public Schools","American Indian",38,7,,
"2018 - 2019",DIV,"King William County Public Schools",Asian,10,1,90.9,9.1
"2018 - 2019",DIV,"King William County Public Schools",Black,276,50,84.7,15.3
"2018 - 2019",DIV,"King William County Public Schools","Economically Disadvantaged",514,176,74.5,25.5
"2018 - 2019",DIV,"King William County Public Schools","English Learners",27,3,90,10
"2018 - 2019",DIV,"King William County Public Schools",Female,899,154,85.4,14.6
"2018 - 2019",DIV,"King William County Public Schools",Hispanic,53,9,85.5,14.5
"2018 - 2019",DIV,"King William County Public Schools",Homeless,6,7,,
"2018 - 2019",DIV,"King William County Public Schools",Male,935,192,83,17
"2018 - 2019",DIV,"King William County Public Schools","Multiple Races",72,11,86.7,13.3
"2018 - 2019",DIV,"King William County Public Schools","Students with Disabilities",212,78,73.1,26.9
"2018 - 2019",DIV,"King William County Public Schools",White,1385,268,83.8,16.2
"2018 - 2019",DIV,"King and Queen County Public Schools","All Students",678,77,89.8,10.2
"2018 - 2019",DIV,"King and Queen County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"King and Queen County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"King and Queen County Public Schools",Black,237,20,92.2,7.8
"2018 - 2019",DIV,"King and Queen County Public Schools","Economically Disadvantaged",420,61,87.3,12.7
"2018 - 2019",DIV,"King and Queen County Public Schools","English Learners",18,0,100,0
"2018 - 2019",DIV,"King and Queen County Public Schools",Female,353,43,89.1,10.9
"2018 - 2019",DIV,"King and Queen County Public Schools",Hispanic,42,4,91.3,8.7
"2018 - 2019",DIV,"King and Queen County Public Schools",Homeless,8,4,,
"2018 - 2019",DIV,"King and Queen County Public Schools",Male,325,34,90.5,9.5
"2018 - 2019",DIV,"King and Queen County Public Schools","Multiple Races",42,13,76.4,23.6
"2018 - 2019",DIV,"King and Queen County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"King and Queen County Public Schools","Students with Disabilities",89,19,82.4,17.6
"2018 - 2019",DIV,"King and Queen County Public Schools",White,345,40,89.6,10.4
"2018 - 2019",DIV,"Lancaster County Public Schools","All Students",822,221,78.8,21.2
"2018 - 2019",DIV,"Lancaster County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Lancaster County Public Schools",Asian,12,0,100,0
"2018 - 2019",DIV,"Lancaster County Public Schools",Black,432,118,78.5,21.5
"2018 - 2019",DIV,"Lancaster County Public Schools","Economically Disadvantaged",507,167,75.2,24.8
"2018 - 2019",DIV,"Lancaster County Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Lancaster County Public Schools",Female,388,112,77.6,22.4
"2018 - 2019",DIV,"Lancaster County Public Schools",Hispanic,<,<,71.4,28.6
"2018 - 2019",DIV,"Lancaster County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Lancaster County Public Schools",Male,434,109,79.9,20.1
"2018 - 2019",DIV,"Lancaster County Public Schools","Multiple Races",43,11,79.6,20.4
"2018 - 2019",DIV,"Lancaster County Public Schools","Students with Disabilities",111,27,80.4,19.6
"2018 - 2019",DIV,"Lancaster County Public Schools",White,327,90,78.4,21.6
"2018 - 2019",DIV,"Lee County Public Schools","All Students",2324,688,77.2,22.8
"2018 - 2019",DIV,"Lee County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Lee County Public Schools",Asian,<,<,87.5,12.5
"2018 - 2019",DIV,"Lee County Public Schools",Black,14,4,77.8,22.2
"2018 - 2019",DIV,"Lee County Public Schools","Economically Disadvantaged",1150,463,71.3,28.7
"2018 - 2019",DIV,"Lee County Public Schools","English Learners",<,<,88.9,11.1
"2018 - 2019",DIV,"Lee County Public Schools",Female,1085,316,77.4,22.6
"2018 - 2019",DIV,"Lee County Public Schools",Hispanic,40,5,88.9,11.1
"2018 - 2019",DIV,"Lee County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Lee County Public Schools",Male,1239,372,76.9,23.1
"2018 - 2019",DIV,"Lee County Public Schools","Multiple Races",27,6,81.8,18.2
"2018 - 2019",DIV,"Lee County Public Schools","Students with Disabilities",383,119,76.3,23.7
"2018 - 2019",DIV,"Lee County Public Schools",White,2234,670,76.9,23.1
"2018 - 2019",DIV,"Lexington City Public Schools","All Students",488,38,92.8,7.2
"2018 - 2019",DIV,"Lexington City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Lexington City Public Schools",Asian,16,1,94.1,5.9
"2018 - 2019",DIV,"Lexington City Public Schools",Black,40,0,100,0
"2018 - 2019",DIV,"Lexington City Public Schools","Economically Disadvantaged",118,16,88.1,11.9
"2018 - 2019",DIV,"Lexington City Public Schools","English Learners",36,0,100,0
"2018 - 2019",DIV,"Lexington City Public Schools",Female,242,17,93.4,6.6
"2018 - 2019",DIV,"Lexington City Public Schools",Hispanic,41,1,97.6,2.4
"2018 - 2019",DIV,"Lexington City Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Lexington City Public Schools",Male,246,21,92.1,7.9
"2018 - 2019",DIV,"Lexington City Public Schools","Multiple Races",12,1,92.3,7.7
"2018 - 2019",DIV,"Lexington City Public Schools","Students with Disabilities",39,10,79.6,20.4
"2018 - 2019",DIV,"Lexington City Public Schools",White,378,35,91.5,8.5
"2018 - 2019",DIV,"Loudoun County Public Schools","All Students",74501,6860,91.6,8.4
"2018 - 2019",DIV,"Loudoun County Public Schools","American Indian",390,40,,
"2018 - 2019",DIV,"Loudoun County Public Schools",Asian,16741,1427,92.1,7.9
"2018 - 2019",DIV,"Loudoun County Public Schools",Black,5044,400,92.7,7.3
"2018 - 2019",DIV,"Loudoun County Public Schools","Economically Disadvantaged",12744,2320,84.6,15.4
"2018 - 2019",DIV,"Loudoun County Public Schools","English Learners",11944,1788,87,13
"2018 - 2019",DIV,"Loudoun County Public Schools",Female,36292,3379,91.5,8.5
"2018 - 2019",DIV,"Loudoun County Public Schools",Hispanic,12203,1861,86.8,13.2
"2018 - 2019",DIV,"Loudoun County Public Schools",Homeless,1455,464,,
"2018 - 2019",DIV,"Loudoun County Public Schools",Male,38209,3481,91.7,8.3
"2018 - 2019",DIV,"Loudoun County Public Schools","Multiple Races",4151,324,92.8,7.2
"2018 - 2019",DIV,"Loudoun County Public Schools","Native Hawaiian",88,11,,
"2018 - 2019",DIV,"Loudoun County Public Schools","Students with Disabilities",8054,1180,87.2,12.8
"2018 - 2019",DIV,"Loudoun County Public Schools",White,35884,2797,92.8,7.2
"2018 - 2019",DIV,"Louisa County Public Schools","All Students",4360,371,92.2,7.8
"2018 - 2019",DIV,"Louisa County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Louisa County Public Schools",Asian,36,2,94.7,5.3
"2018 - 2019",DIV,"Louisa County Public Schools",Black,665,60,91.7,8.3
"2018 - 2019",DIV,"Louisa County Public Schools","Economically Disadvantaged",2047,293,87.5,12.5
"2018 - 2019",DIV,"Louisa County Public Schools","English Learners",162,7,95.9,4.1
"2018 - 2019",DIV,"Louisa County Public Schools",Female,2191,161,93.2,6.8
"2018 - 2019",DIV,"Louisa County Public Schools",Hispanic,242,16,93.8,6.2
"2018 - 2019",DIV,"Louisa County Public Schools",Homeless,17,12,,
"2018 - 2019",DIV,"Louisa County Public Schools",Male,2169,210,91.2,8.8
"2018 - 2019",DIV,"Louisa County Public Schools","Multiple Races",326,43,88.3,11.7
"2018 - 2019",DIV,"Louisa County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Louisa County Public Schools","Students with Disabilities",698,123,85,15
"2018 - 2019",DIV,"Louisa County Public Schools",White,3080,248,92.5,7.5
"2018 - 2019",DIV,"Lunenburg County Public Schools","All Students",1286,197,86.7,13.3
"2018 - 2019",DIV,"Lunenburg County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Lunenburg County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Lunenburg County Public Schools",Black,411,78,84,16
"2018 - 2019",DIV,"Lunenburg County Public Schools","Economically Disadvantaged",806,153,84,16
"2018 - 2019",DIV,"Lunenburg County Public Schools","English Learners",116,8,93.5,6.5
"2018 - 2019",DIV,"Lunenburg County Public Schools",Female,628,92,87.2,12.8
"2018 - 2019",DIV,"Lunenburg County Public Schools",Hispanic,150,13,92,8
"2018 - 2019",DIV,"Lunenburg County Public Schools",Homeless,22,12,,
"2018 - 2019",DIV,"Lunenburg County Public Schools",Male,658,105,86.2,13.8
"2018 - 2019",DIV,"Lunenburg County Public Schools","Multiple Races",62,6,91.2,8.8
"2018 - 2019",DIV,"Lunenburg County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Lunenburg County Public Schools","Students with Disabilities",151,39,79.5,20.5
"2018 - 2019",DIV,"Lunenburg County Public Schools",White,652,98,86.9,13.1
"2018 - 2019",DIV,"Lynchburg City Public Schools","All Students",6786,1157,85.4,14.6
"2018 - 2019",DIV,"Lynchburg City Public Schools","American Indian",28,6,,
"2018 - 2019",DIV,"Lynchburg City Public Schools",Asian,122,11,91.7,8.3
"2018 - 2019",DIV,"Lynchburg City Public Schools",Black,3219,646,83.3,16.7
"2018 - 2019",DIV,"Lynchburg City Public Schools","Economically Disadvantaged",3709,951,79.6,20.4
"2018 - 2019",DIV,"Lynchburg City Public Schools","English Learners",248,24,91.2,8.8
"2018 - 2019",DIV,"Lynchburg City Public Schools",Female,3315,581,85.1,14.9
"2018 - 2019",DIV,"Lynchburg City Public Schools",Hispanic,440,75,85.4,14.6
"2018 - 2019",DIV,"Lynchburg City Public Schools",Homeless,117,82,,
"2018 - 2019",DIV,"Lynchburg City Public Schools",Male,3471,576,85.8,14.2
"2018 - 2019",DIV,"Lynchburg City Public Schools","Multiple Races",572,137,80.7,19.3
"2018 - 2019",DIV,"Lynchburg City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Lynchburg City Public Schools","Students with Disabilities",923,211,81.4,18.6
"2018 - 2019",DIV,"Lynchburg City Public Schools",White,2400,281,89.5,10.5
"2018 - 2019",DIV,"Madison County Public Schools","All Students",1541,137,91.8,8.2
"2018 - 2019",DIV,"Madison County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Madison County Public Schools",Asian,<,<,77.8,22.2
"2018 - 2019",DIV,"Madison County Public Schools",Black,131,8,94.2,5.8
"2018 - 2019",DIV,"Madison County Public Schools","Economically Disadvantaged",673,96,87.5,12.5
"2018 - 2019",DIV,"Madison County Public Schools","English Learners",16,2,88.9,11.1
"2018 - 2019",DIV,"Madison County Public Schools",Female,750,72,91.2,8.8
"2018 - 2019",DIV,"Madison County Public Schools",Hispanic,51,5,91.1,8.9
"2018 - 2019",DIV,"Madison County Public Schools",Homeless,8,8,,
"2018 - 2019",DIV,"Madison County Public Schools",Male,791,65,92.4,7.6
"2018 - 2019",DIV,"Madison County Public Schools","Multiple Races",107,13,89.2,10.8
"2018 - 2019",DIV,"Madison County Public Schools","Students with Disabilities",126,16,88.7,11.3
"2018 - 2019",DIV,"Madison County Public Schools",White,1244,109,91.9,8.1
"2018 - 2019",DIV,"Manassas City Public Schools","All Students",6405,993,86.6,13.4
"2018 - 2019",DIV,"Manassas City Public Schools","American Indian",24,3,,
"2018 - 2019",DIV,"Manassas City Public Schools",Asian,242,19,92.7,7.3
"2018 - 2019",DIV,"Manassas City Public Schools",Black,649,79,89.1,10.9
"2018 - 2019",DIV,"Manassas City Public Schools","Economically Disadvantaged",3648,664,84.6,15.4
"2018 - 2019",DIV,"Manassas City Public Schools","English Learners",3202,565,85,15
"2018 - 2019",DIV,"Manassas City Public Schools",Female,3103,471,86.8,13.2
"2018 - 2019",DIV,"Manassas City Public Schools",Hispanic,4112,752,84.5,15.5
"2018 - 2019",DIV,"Manassas City Public Schools",Homeless,29,15,,
"2018 - 2019",DIV,"Manassas City Public Schools",Male,3302,522,86.3,13.7
"2018 - 2019",DIV,"Manassas City Public Schools","Multiple Races",345,44,88.7,11.3
"2018 - 2019",DIV,"Manassas City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Manassas City Public Schools","Students with Disabilities",762,196,79.5,20.5
"2018 - 2019",DIV,"Manassas City Public Schools",White,1028,96,91.5,8.5
"2018 - 2019",DIV,"Manassas Park City Public Schools","All Students",3185,409,88.6,11.4
"2018 - 2019",DIV,"Manassas Park City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Manassas Park City Public Schools",Asian,178,26,87.3,12.7
"2018 - 2019",DIV,"Manassas Park City Public Schools",Black,305,17,94.7,5.3
"2018 - 2019",DIV,"Manassas Park City Public Schools","Economically Disadvantaged",1661,229,87.9,12.1
"2018 - 2019",DIV,"Manassas Park City Public Schools","English Learners",1643,211,88.6,11.4
"2018 - 2019",DIV,"Manassas Park City Public Schools",Female,1509,220,87.3,12.7
"2018 - 2019",DIV,"Manassas Park City Public Schools",Hispanic,2000,296,87.1,12.9
"2018 - 2019",DIV,"Manassas Park City Public Schools",Homeless,21,3,,
"2018 - 2019",DIV,"Manassas Park City Public Schools",Male,1676,189,89.9,10.1
"2018 - 2019",DIV,"Manassas Park City Public Schools","Multiple Races",168,25,87,13
"2018 - 2019",DIV,"Manassas Park City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Manassas Park City Public Schools","Students with Disabilities",404,59,87.3,12.7
"2018 - 2019",DIV,"Manassas Park City Public Schools",White,530,45,92.2,7.8
"2018 - 2019",DIV,"Martinsville City Public Schools","All Students",1599,204,88.7,11.3
"2018 - 2019",DIV,"Martinsville City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Martinsville City Public Schools",Asian,24,1,96,4
"2018 - 2019",DIV,"Martinsville City Public Schools",Black,951,121,88.7,11.3
"2018 - 2019",DIV,"Martinsville City Public Schools","Economically Disadvantaged",1049,167,86.3,13.7
"2018 - 2019",DIV,"Martinsville City Public Schools","English Learners",163,16,91.1,8.9
"2018 - 2019",DIV,"Martinsville City Public Schools",Female,758,102,88.1,11.9
"2018 - 2019",DIV,"Martinsville City Public Schools",Hispanic,207,23,90,10
"2018 - 2019",DIV,"Martinsville City Public Schools",Homeless,27,24,,
"2018 - 2019",DIV,"Martinsville City Public Schools",Male,841,102,89.2,10.8
"2018 - 2019",DIV,"Martinsville City Public Schools","Multiple Races",84,11,88.4,11.6
"2018 - 2019",DIV,"Martinsville City Public Schools","Students with Disabilities",187,26,87.8,12.2
"2018 - 2019",DIV,"Martinsville City Public Schools",White,333,46,87.9,12.1
"2018 - 2019",DIV,"Mathews County Public Schools","All Students",911,146,86.2,13.8
"2018 - 2019",DIV,"Mathews County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Mathews County Public Schools",Asian,10,0,100,0
"2018 - 2019",DIV,"Mathews County Public Schools",Black,68,11,86.1,13.9
"2018 - 2019",DIV,"Mathews County Public Schools","Economically Disadvantaged",408,102,80,20
"2018 - 2019",DIV,"Mathews County Public Schools","English Learners",19,0,100,0
"2018 - 2019",DIV,"Mathews County Public Schools",Female,461,66,87.5,12.5
"2018 - 2019",DIV,"Mathews County Public Schools",Hispanic,34,4,89.5,10.5
"2018 - 2019",DIV,"Mathews County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Mathews County Public Schools",Male,450,80,84.9,15.1
"2018 - 2019",DIV,"Mathews County Public Schools","Multiple Races",42,17,71.2,28.8
"2018 - 2019",DIV,"Mathews County Public Schools","Students with Disabilities",127,30,80.9,19.1
"2018 - 2019",DIV,"Mathews County Public Schools",White,755,113,87,13
"2018 - 2019",DIV,"Mecklenburg County Public Schools","All Students",3335,628,84.2,15.8
"2018 - 2019",DIV,"Mecklenburg County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Mecklenburg County Public Schools",Asian,23,1,95.8,4.2
"2018 - 2019",DIV,"Mecklenburg County Public Schools",Black,1423,272,84,16
