"Teacher Quality"
4/26/2022

Year,Level,Division,School,"Poverty Level","Title1 Code","Percent of Inexperienced Teachers","Percent of Out-of-Field Teachers","Percent of Out-of-Field and Inexperienced Teachers"
"2020 - 2021",SCH,"Fairfax County Public Schools","Mason Crest Elementary","Medium Poverty","Non-Title I",3.1,1.6,1.6
"2020 - 2021",SCH,"Fairfax County Public Schools","McLean High","Low Poverty","All Schools",2.5,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","McLean High","Low Poverty","Non-Title I",2.5,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","McNair Elementary","Low Poverty","All Schools",7.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","McNair Elementary","Low Poverty","Non-Title I",7.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mosaic Elementary","Low Poverty","All Schools",2.7,1.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mosaic Elementary","Low Poverty","Non-Title I",2.7,1.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mount Eagle Elementary","Medium Poverty","All Schools",4.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mount Eagle Elementary","Medium Poverty","Title I",4.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mount Vernon High","Medium Poverty","All Schools",3.2,10.3,0.5
"2020 - 2021",SCH,"Fairfax County Public Schools","Mount Vernon High","Medium Poverty","Non-Title I",3.2,10.3,0.5
"2020 - 2021",SCH,"Fairfax County Public Schools","Mount Vernon Woods Elementary","High Poverty","All Schools",1.5,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mount Vernon Woods Elementary","High Poverty","Title I",1.5,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mountain View High","Medium Poverty","All Schools",0,5.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Mountain View High","Medium Poverty","Non-Title I",0,5.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Navy Elementary","Low Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Navy Elementary","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Newington Forest Elementary","Low Poverty","All Schools",4.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Newington Forest Elementary","Low Poverty","Non-Title I",4.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","North Springfield Elementary","Medium Poverty","All Schools",5.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","North Springfield Elementary","Medium Poverty","Non-Title I",5.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oak Hill Elementary","Low Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oak Hill Elementary","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oak View Elementary","Low Poverty","All Schools",1.6,3.2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oak View Elementary","Low Poverty","Non-Title I",1.6,3.2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oakton Elementary","Low Poverty","All Schools",10,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oakton Elementary","Low Poverty","Non-Title I",10,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oakton High","Low Poverty","All Schools",3.8,3.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Oakton High","Low Poverty","Non-Title I",3.8,3.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Olde Creek Elementary","Low Poverty","All Schools",13.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Olde Creek Elementary","Low Poverty","Non-Title I",13.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Orange Hunt Elementary","Low Poverty","All Schools",2.9,4.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Orange Hunt Elementary","Low Poverty","Non-Title I",2.9,4.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Parklawn Elementary","High Poverty","All Schools",8.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Parklawn Elementary","High Poverty","Title I",8.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Pine Spring Elementary","Medium Poverty","All Schools",12.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Pine Spring Elementary","Medium Poverty","Title I",12.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Poe Middle","High Poverty","All Schools",5,2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Poe Middle","High Poverty","Title I",5,2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Poplar Tree Elementary","Low Poverty","All Schools",0,3.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Poplar Tree Elementary","Low Poverty","Non-Title I",0,3.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Powell Elementary","Low Poverty","All Schools",1.4,2.7,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Powell Elementary","Low Poverty","Non-Title I",1.4,2.7,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Providence Elementary","Medium Poverty","All Schools",3.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Providence Elementary","Medium Poverty","Title I",3.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Ravensworth Elementary","Low Poverty","All Schools",7.8,11.8,3.9
"2020 - 2021",SCH,"Fairfax County Public Schools","Ravensworth Elementary","Low Poverty","Non-Title I",7.8,11.8,3.9
"2020 - 2021",SCH,"Fairfax County Public Schools","Riverside Elementary","High Poverty","All Schools",7.7,1.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Riverside Elementary","High Poverty","Title I",7.7,1.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Robinson Secondary","Low Poverty","All Schools",1.5,4.8,0.4
"2020 - 2021",SCH,"Fairfax County Public Schools","Robinson Secondary","Low Poverty","Non-Title I",1.5,4.8,0.4
"2020 - 2021",SCH,"Fairfax County Public Schools","Rocky Run Middle","Low Poverty","All Schools",2.5,6.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Rocky Run Middle","Low Poverty","Non-Title I",2.5,6.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Rolling Valley Elementary","Low Poverty","All Schools",1.9,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Rolling Valley Elementary","Low Poverty","Non-Title I",1.9,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Rose Hill Elementary","Medium Poverty","All Schools",5.7,10,1.4
"2020 - 2021",SCH,"Fairfax County Public Schools","Rose Hill Elementary","Medium Poverty","Non-Title I",5.7,10,1.4
"2020 - 2021",SCH,"Fairfax County Public Schools","Sandburg Middle","Medium Poverty","All Schools",3.2,0.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sandburg Middle","Medium Poverty","Non-Title I",3.2,0.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sangster Elementary","Low Poverty","All Schools",1.5,1.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sangster Elementary","Low Poverty","Non-Title I",1.5,1.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Saratoga Elementary","Medium Poverty","All Schools",4.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Saratoga Elementary","Medium Poverty","Non-Title I",4.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sherman Elementary","Low Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sherman Elementary","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Shrevewood Elementary","Low Poverty","All Schools",0,1.6,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Shrevewood Elementary","Low Poverty","Non-Title I",0,1.6,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Silverbrook Elementary","Low Poverty","All Schools",3.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Silverbrook Elementary","Low Poverty","Non-Title I",3.4,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sleepy Hollow Elementary","Medium Poverty","All Schools",2.1,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sleepy Hollow Elementary","Medium Poverty","Title I",2.1,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","South County High","Low Poverty","All Schools",1.9,7.1,0.6
"2020 - 2021",SCH,"Fairfax County Public Schools","South County High","Low Poverty","Non-Title I",1.9,7.1,0.6
"2020 - 2021",SCH,"Fairfax County Public Schools","South County Middle","Low Poverty","All Schools",2.5,3.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","South County Middle","Low Poverty","Non-Title I",2.5,3.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","South Lakes High","Low Poverty","All Schools",5.7,5.3,1.9
"2020 - 2021",SCH,"Fairfax County Public Schools","South Lakes High","Low Poverty","Non-Title I",5.7,5.3,1.9
"2020 - 2021",SCH,"Fairfax County Public Schools","Spring Hill Elementary","Low Poverty","All Schools",0,1.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Spring Hill Elementary","Low Poverty","Non-Title I",0,1.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Springfield Estates Elementary","Medium Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Springfield Estates Elementary","Medium Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Stenwood Elementary","Low Poverty","All Schools",2.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Stenwood Elementary","Low Poverty","Non-Title I",2.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Stone Middle","Medium Poverty","All Schools",4.7,6.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Stone Middle","Medium Poverty","Non-Title I",4.7,6.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Stratford Landing Elementary","Low Poverty","All Schools",3.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Stratford Landing Elementary","Low Poverty","Non-Title I",3.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sunrise Valley Elementary","Low Poverty","All Schools",1.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Sunrise Valley Elementary","Low Poverty","Non-Title I",1.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Terra Centre Elementary","Low Poverty","All Schools",1.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Terra Centre Elementary","Low Poverty","Non-Title I",1.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Terraset Elementary","Medium Poverty","All Schools",6.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Terraset Elementary","Medium Poverty","Non-Title I",6.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology","Low Poverty","All Schools",1.6,0.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology","Low Poverty","Non-Title I",1.6,0.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Thoreau Middle","Low Poverty","All Schools",2,2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Thoreau Middle","Low Poverty","Non-Title I",2,2,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Timber Lane Elementary","Medium Poverty","All Schools",15.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Timber Lane Elementary","Medium Poverty","Title I",15.6,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Twain Middle","Medium Poverty","All Schools",5.6,1.1,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Twain Middle","Medium Poverty","Non-Title I",5.6,1.1,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Union Mill Elementary","Low Poverty","All Schools",2.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Union Mill Elementary","Low Poverty","Non-Title I",2.9,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Vienna Elementary","Low Poverty","All Schools",8.1,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Vienna Elementary","Low Poverty","Non-Title I",8.1,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Virginia Run Elementary","Medium Poverty","All Schools",1.8,1.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Virginia Run Elementary","Medium Poverty","Non-Title I",1.8,1.8,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Wakefield Forest Elementary","Low Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Wakefield Forest Elementary","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Waples Mill Elementary","Low Poverty","All Schools",4.2,1.4,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Waples Mill Elementary","Low Poverty","Non-Title I",4.2,1.4,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Washington Mill Elementary","Medium Poverty","All Schools",3.5,14,1.8
"2020 - 2021",SCH,"Fairfax County Public Schools","Washington Mill Elementary","Medium Poverty","Title I",3.5,14,1.8
"2020 - 2021",SCH,"Fairfax County Public Schools","Waynewood Elementary","Low Poverty","All Schools",7.7,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Waynewood Elementary","Low Poverty","Non-Title I",7.7,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","West Potomac High","Medium Poverty","All Schools",1.4,5.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","West Potomac High","Medium Poverty","Non-Title I",1.4,5.3,0
"2020 - 2021",SCH,"Fairfax County Public Schools","West Springfield Elementary","Low Poverty","All Schools",5.6,3.7,1.9
"2020 - 2021",SCH,"Fairfax County Public Schools","West Springfield Elementary","Low Poverty","Non-Title I",5.6,3.7,1.9
"2020 - 2021",SCH,"Fairfax County Public Schools","West Springfield High","Low Poverty","All Schools",3,6.6,0
"2020 - 2021",SCH,"Fairfax County Public Schools","West Springfield High","Low Poverty","Non-Title I",3,6.6,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Westbriar Elementary","Low Poverty","All Schools",3.2,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Westbriar Elementary","Low Poverty","Non-Title I",3.2,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Westfield High","Low Poverty","All Schools",3.1,6.7,0.5
"2020 - 2021",SCH,"Fairfax County Public Schools","Westfield High","Low Poverty","Non-Title I",3.1,6.7,0.5
"2020 - 2021",SCH,"Fairfax County Public Schools","Westgate Elementary","Low Poverty","All Schools",3.8,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Westgate Elementary","Low Poverty","Non-Title I",3.8,1.9,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Westlawn Elementary","Medium Poverty","All Schools",5.1,2.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Westlawn Elementary","Medium Poverty","Title I",5.1,2.5,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Weyanoke Elementary","High Poverty","All Schools",6.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Weyanoke Elementary","High Poverty","Title I",6.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","White Oaks Elementary","Low Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","White Oaks Elementary","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Whitman Middle","Medium Poverty","All Schools",4.6,4.6,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Whitman Middle","Medium Poverty","Non-Title I",4.6,4.6,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Willow Springs Elementary","Low Poverty","All Schools",4.3,1.4,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Willow Springs Elementary","Low Poverty","Non-Title I",4.3,1.4,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Wolftrap Elementary","Low Poverty","All Schools",2.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Wolftrap Elementary","Low Poverty","Non-Title I",2.3,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodburn Elementary","High Poverty","All Schools",5,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodburn Elementary","High Poverty","Title I",5,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodlawn Elementary","Medium Poverty","All Schools",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodlawn Elementary","Medium Poverty","Title I",0,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodley Hills Elementary","High Poverty","All Schools",1.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodley Hills Elementary","High Poverty","Title I",1.8,0,0
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodson High","Low Poverty","All Schools",3.7,8.6,1.1
"2020 - 2021",SCH,"Fairfax County Public Schools","Woodson High","Low Poverty","Non-Title I",3.7,8.6,1.1
